"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"932","609",110,"1","0","1","0","0","0","1","2","2","2",10,1,"1","2","5","0","0","1","3","3","3","1","0","21","1",62000,40,"1","0","2","795","720","0","1","1","6871","1","9999","0","6","1","565","0",62000,62010,"25","2","600","1","2","3","6","4008","6","1","0","1","0","0","1","2","1",0
"933","201",23,"4","2","3","1","0","0","1","2","2","2",15,1,"1","1","1","1","2","1","3","3","3","1","0","22","1",55000,60,"1","3","4","999","999","7","1","1","7680","55","1055","0","1","2","3930","0",55000,55000,"332","1","290","1","2","3","2","3000","2","0","1","1","0","0","2","2","3",0
"934","610",45,"5","0","1","0","0","0","2","2","2","2",1,1,"1","2","3","2","2","1","3","3","3","3","15","19","1",70000,40,"1","3","4","999","999","6","1","1","6190","19","9999","0","4","2","9142","0",64100,64100,"440","1","800","2","2","2","2","3000","2","0","1","1","0","0","0","0","6",0
"935","706",55,"1","0","2","0","0","2","1","1","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","21","2",0,0,"2","0","1","50","999","0","0","6","7860","0","9999","0","1","1","2320","4",0,60000,"25","2","0","1","2","4","1","1000","1","0","0","1","0","1","2","2","1",0
"936","904",162,"1","0","1","0","0","0","1","2","2","2",45,1,"1","2","1","1","2","1","3","1","1","1","0","20","1",75000,40,"1","0","1","50","999","0","1","1","7680","91","9999","0","1","1","6442","0",75000,85000,"25","2","600","1","2","1","1","1000","1","0","0","1","0","1","0","0","1",0
"937","1004",48,"1","0","2","0","0","2","1","1","1","2",0,0,"0","2","2","1","2","3","2","2","1","1","0","21","2",45300,40,"2","0","1","148","999","0","0","3","9170","0","9999","3","3","1","60","4",45300,81900,"36","2","0","1","1","2","1","1000","1","0","0","1","0","1","1","2","1",0
"938","403",60,"4","2","1","0","0","0","1","2","2","2",0,0,"0","2","5","0","0","1","2","2","2","2","15","16","1",0,0,"2","3","1","148","999","7","0","6","4871","0","9999","0","6","2","4720","0",0,0,"163","2","0","1","2","1","1","1000","1","0","0","1","0","1","0","0","5",0
"939","901",55,"1","0","0","0","0","2","1","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","21","1",0,0,"2","0","1","22","999","0","0","6","9920","0","9999","0","1","1","9920","0",0,67900,"48","2","0","1","1","2","1","1000","1","0","0","1","0","1","1","2","1",0
"940","100",7,"1","0","3","0","0","0","1","2","2","2",0,0,"11","2","5","0","0","1","3","3","3","2","14","14","1",7000,12,"0","0","4","999","999","0","0","1","8670","0","9999","0","6","1","4622","0",7000,7000,"51","2","100","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"941","1201",71,"1","0","2","0","0","0","1","2","2","2",5,1,"1","2","3","2","2","1","3","3","3","1","0","21","2",60000,40,"1","0","2","22","26","0","1","1","8380","61","9999","0","4","1","420","4",60000,57900,"25","2","1290","1","2","1","1","1000","1","0","0","1","0","1","1","2","1",0
"942","1102",59,"1","0","1","0","0","0","1","2","1","2",15,1,"1","2","2","1","2","1","3","3","3","1","0","20","1",102000,60,"1","0","2","935","22","0","1","1","7290","31","9999","0","3","1","1410","0",102000,127000,"25","2","1100","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"944","905",46,"1","0","0","0","0","0","1","2","1","2",0,0,"0","2","1","1","2","1","3","2","2","1","0","16","1",0,0,"2","0","1","22","999","0","0","6","9920","0","9999","0","1","1","9920","0",0,14000,"25","1","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"945","1104",140,"1","0","2","0","2","0","1","2","2","2",30,1,"1","2","5","0","0","1","3","3","3","2","16","21","2",45000,40,"1","0","1","50","999","0","1","1","8090","43","9999","0","6","1","420","4",45000,45000,"25","1","1290","1","2","1","1","1000","1","0","0","1","0","1","1","2","1",0
"946","609",64,"1","0","1","0","2","0","1","2","2","2",0,0,"11","2","5","0","0","1","3","3","3","1","0","18","2",31000,40,"1","0","1","902","999","0","0","1","8191","0","9999","0","6","1","3645","4",31000,31000,"25","1","600","1","2","3","2","3000","2","0","1","1","0","0","0","0","1",0
"948","201",20,"1","0","1","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","16","2",9400,36,"2","0","3","996","999","0","0","6","6370","0","9999","0","1","1","5550","4",9400,9400,"25","1","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"949","503",46,"4","2","1","1","0","0","2","2","1","1",0,0,"0","1","1","1","2","1","2","2","2","1","0","21","2",0,0,"2","3","1","615","999","8","0","6","4871","0","1765","0","1","2","4720","4",0,5800,"210","1","0","1","1","3","6","4015","4","1","0","1","0","0","2","2","4",0
"950","905",49,"1","0","1","1","2","2","2","1","2","2",0,0,"0","1","5","0","0","1","3","3","3","1","0","16","2",700,40,"0","0","2","226","223","0","0","6","7380","0","1200","0","6","1","1022","4",700,700,"25","1","0","1","2","3","8","8000","15","0","0","1","1","0","0","0","1",0
"953","609",73,"1","0","1","0","0","0","1","2","2","2",20,1,"1","2","5","0","0","3","3","3","3","1","0","21","1",53000,40,"1","0","2","32","94","0","1","1","7290","58","9999","3","6","1","1021","0",53000,53000,"31","1","600","1","2","2","1","1000","1","0","0","1","0","1","1","2","1",0
"954","602",69,"1","0","3","0","2","0","1","2","2","2",20,1,"1","2","1","1","2","1","3","3","3","1","0","22","2",68000,40,"1","0","1","50","999","0","1","1","7860","52","9999","0","1","1","2310","1",68000,68000,"25","2","600","1","2","1","1","1000","1","0","0","1","0","1","2","2","1",0
"956","602",83,"1","0","5","1","0","2","2","1","2","2",0,0,"0","1","5","0","0","3","2","2","2","2","15","19","1",20800,40,"2","0","1","336","999","0","0","6","5382","0","1055","3","6","1","4760","0",20800,40810,"25","0","0","1","2","4","2","3000","2","0","1","1","0","0","0","0","1",0
"957","100",100,"1","0","2","0","0","0","1","2","2","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","22","2",112000,40,"1","0","1","50","999","0","0","1","8191","0","9999","0","1","1","3515","4",112000,112000,"19","2","100","1","2","3","1","1000","1","0","0","1","0","1","2","1","1",0
"958","301",33,"1","0","3","0","0","0","1","2","2","2",0,0,"0","2","5","0","0","3","2","2","2","2","15","18","1",7200,40,"2","0","1","26","999","0","0","6","7860","0","9999","3","6","1","1108","0",7200,7200,"33","0","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"960","506",54,"1","0","1","0","0","2","2","1","1","2",0,0,"0","2","1","3","2","1","2","2","2","1","0","20","1",0,0,"2","0","2","24","11","0","0","6","2370","0","9999","0","1","1","1450","0",0,31200,"25","1","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"961","502",31,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","1","2","2","1","3","3","3","1","0","14","2",0,0,"0","0","4","999","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,4200,"25","2","0","2","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"962","901",46,"1","0","0","0","0","0","1","2","1","2",0,0,"0","2","1","2","2","1","2","2","2","1","0","22","2",0,0,"2","0","1","142","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,66300,"25","2","0","1","1","4","1","1000","1","0","0","1","0","1","1","2","1",0
"964","201",71,"1","0","0","1","0","0","2","2","1","2",0,0,"0","1","2","2","2","1","2","2","2","1","0","22","2",0,0,"2","0","1","142","999","0","0","6","9920","0","1270","0","3","1","9920","4",0,29000,"34","1","0","2","1","1","1","1000","1","0","0","1","0","1","2","2","1",0
"966","904",71,"1","0","1","0","2","0","1","2","2","2",0,0,"0","2","5","0","0","1","2","2","2","2","13","14","2",440,8,"2","0","2","50","939","0","0","6","9290","0","9999","0","6","1","4600","4",440,440,"25","1","0","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"967","301",116,"1","0","1","0","1","0","1","2","2","2",0,0,"0","2","1","1","2","1","3","3","3","1","0","17","2",0,0,"0","0","4","999","999","0","0","6","7860","0","9999","0","1","1","2330","1",0,0,"9","1","0","1","2","1","1","1000","1","0","0","1","0","1","0","0","1",0
"969","905",45,"1","0","6","0","0","0","2","2","1","2",0,0,"0","2","1","2","2","1","2","2","2","1","0","23","1",0,0,"2","0","2","142","148","0","0","6","7270","0","9999","0","1","1","2100","0",0,35000,"36","1","0","2","1","4","1","1000","1","0","0","1","0","1","1","2","1",0
"972","802",75,"5","0","1","3","0","0","2","2","2","2",15,0,"2","1","5","0","0","1","3","3","3","1","0","1","1",20800,20,"1","3","1","291","999","8","0","1","8680","31","1200","0","6","2","4220","0",20800,20800,"312","1","800","2","2","4","8","8000","15","0","0","1","1","0","0","0","3",0
"973","607",77,"1","0","1","0","0","0","1","2","1","2",0,0,"11","2","1","1","2","1","3","3","3","3","15","19","2",3000,10,"0","0","4","999","999","0","0","1","770","0","9999","0","1","1","5110","4",3000,17400,"25","1","600","1","1","2","1","1000","1","0","0","1","0","1","0","0","1",0
"975","704",89,"1","0","1","0","0","0","2","2","2","1",10,2,"1","2","5","0","0","1","3","3","3","2","11","12","1",8000,30,"1","0","2","998","26","0","2","1","8590","61","9999","0","6","1","2722","0",8000,27000,"25","2","700","2","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"976","606",57,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","19","2",0,0,"2","0","1","924","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,31500,"25","1","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"977","704",115,"5","0","4","3","0","0","2","2","1","1",10,0,"2","1","1","1","2","3","3","3","3","1","0","16","1",6300,11,"1","3","1","275","999","8","0","1","8370","46","1200","3","1","2","9130","0",6300,6300,"329","1","800","2","1","1","8","8000","15","0","0","1","1","0","0","0","3",0
"978","701",75,"1","0","1","0","0","0","2","2","2","1",10,1,"1","2","1","1","2","1","3","3","3","1","0","16","2",42000,30,"1","0","2","142","26","0","1","1","8680","37","9999","0","1","1","4110","4",42000,42000,"25","2","700","2","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"982","901",49,"1","0","3","0","0","0","1","2","2","2",45,1,"1","2","1","1","2","1","3","3","3","1","0","22","2",105000,40,"1","0","2","50","935","0","1","1","7860","46","9999","0","1","1","2300","2",105000,105120,"25","2","900","1","2","4","1","1000","1","0","0","1","0","1","2","2","1",0
"983","403",63,"1","0","3","0","0","0","1","2","2","2",30,1,"1","2","1","1","2","1","3","3","3","1","0","21","2",75000,37,"1","0","2","51","50","0","1","1","7860","49","9999","0","1","1","2555","4",75000,75000,"25","1","400","1","2","1","1","1000","1","0","0","1","0","1","2","2","1",0
"984","612",130,"1","0","1","0","0","0","1","2","2","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","22","1",4800,50,"1","0","1","22","999","0","0","1","7380","0","9999","0","1","1","1050","0",4800,4800,"9","1","600","1","2","3","1","1000","1","0","0","1","0","1","2","2","1",0
"985","201",65,"1","0","1","2","0","0","2","2","2","1",0,0,"0","1","3","1","2","1","2","2","1","1","0","21","2",0,0,"2","0","2","51","129","0","0","3","4991","0","1170","0","4","1","4760","2",0,30000,"9","1","0","2","1","3","1","1000","1","0","0","1","0","1","2","2","1",0
"986","611",73,"5","0","1","2","0","2","2","1","2","2",20,0,"9","1","5","0","0","2","3","3","3","3","15","21","1",18000,60,"1","3","1","51","999","8","0","1","7870","37","1155","3","6","2","2545","0",18000,18000,"120","1","800","1","2","3","1","1000","1","0","0","1","0","1","1","1","5",0
"987","801",49,"5","0","0","1","0","1","2","1","2","2",0,0,"0","1","5","0","0","1","2","2","2","3","15","19","1",0,0,"2","3","1","706","999","8","0","6","9920","0","2000","0","6","2","9920","0",0,0,"207","0","0","1","2","3","6","4000","5","1","0","1","0","0","0","0","4",0
"989","502",126,"1","0","1","0","0","0","1","2","2","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","21","1",1e+05,40,"1","0","1","939","999","0","0","1","7380","0","9999","0","1","1","1021","0",1e+05,1e+05,"50","2","500","1","2","4","1","1000","1","0","0","1","0","1","1","2","1",0
"990","1003",90,"1","0","1","0","2","0","1","2","2","2",10,1,"1","2","5","0","0","1","3","3","3","3","15","19","2",20000,10,"1","0","4","999","999","0","1","1","4971","111","9999","0","6","1","9620","4",20000,20000,"25","1","1000","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"991","613",72,"4","2","2","0","0","0","1","2","2","2",35,1,"1","2","1","1","2","1","3","3","3","1","0","22","1",150000,70,"1","3","1","195","999","5","1","1","570","55","9999","0","1","2","800","0",150000,150000,"163","2","800","1","2","1","1","1000","1","0","0","1","0","1","2","2","5",0
"992","601",33,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","3","1","2","1","2","2","2","1","0","22","2",0,0,"2","0","2","22","50","0","0","6","9920","0","9999","0","4","1","9920","4",0,60000,"25","1","0","1","1","2","1","1000","1","0","0","1","0","1","2","2","1",0
"993","505",128,"1","0","0","0","0","0","1","2","2","2",0,0,"0","2","5","0","0","3","2","2","2","3","15","19","1",0,0,"2","0","1","22","999","0","0","6","9920","0","9999","3","6","1","9920","0",0,0,"25","1","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"994","504",26,"1","0","1","0","0","2","2","1","2","2",0,0,"0","2","5","0","0","1","2","2","2","3","15","19","1",10000,40,"2","0","2","32","50","0","0","6","8590","0","9999","0","6","1","4220","0",10000,10000,"9","0","0","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"995","706",60,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","2","1","2","1","3","3","3","1","0","21","2",0,0,"0","0","4","999","999","0","0","6","9920","0","9999","0","3","1","9920","0",0,19400,"25","0","0","2","1","3","1","1000","1","0","0","1","0","1","2","1","1",1
"996","611",69,"1","0","2","0","0","0","1","2","2","2",5,0,"10","2","5","0","0","3","3","3","3","1","0","24","1",50000,40,"1","0","2","50","237","0","0","1","7870","67","9999","3","6","1","2400","0",53500,53500,"6","1","600","1","2","4","1","1000","1","0","0","1","0","1","2","2","1",0
"997","504",71,"1","0","2","0","0","0","1","2","2","2",10,1,"1","2","1","1","2","1","3","3","3","1","0","19","2",48000,32,"1","0","2","26","51","0","1","1","8191","55","9999","0","1","1","5400","4",48000,48000,"25","2","500","1","2","1","1","1000","1","0","0","1","0","1","0","0","1",0
"998","905",27,"1","0","0","0","0","0","2","2","2","1",0,0,"0","2","5","0","0","1","2","2","2","1","0","18","1",0,0,"2","0","1","902","999","0","0","6","9920","0","9999","0","6","1","9920","0",0,14000,"25","1","0","2","1","2","2","3000","2","0","1","1","0","0","0","0","1",1
"1000","505",3,"1","0","1","0","0","2","2","1","2","2",0,0,"0","2","5","0","0","1","2","2","2","3","16","21","1",0,0,"2","0","1","939","999","0","0","6","4380","0","9999","0","6","1","1108","0",0,0,"25","0","0","1","2","3","1","1000","1","0","0","1","0","1","1","2","1",0
"1001","1003",44,"1","0","4","0","2","0","1","2","2","2",15,1,"1","2","3","1","2","1","3","3","3","1","0","22","2",80000,40,"1","0","2","50","26","0","1","1","7860","40","9999","0","4","1","2320","2",80000,80000,"25","1","1000","1","2","3","1","1000","1","0","0","1","0","1","1","2","1",0
"1002","610",94,"1","0","2","0","2","0","1","2","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","22","2",29900,35,"2","0","4","999","999","0","0","6","7870","0","9999","0","1","1","2545","4",29900,29900,"25","2","0","1","2","4","1","1000","1","0","0","1","0","1","1","2","1",0
"1003","803",32,"1","0","1","0","0","2","1","1","2","2",30,1,"1","2","5","0","0","3","3","3","3","1","0","21","1",80000,40,"1","0","4","999","999","0","1","1","5181","64","9999","3","6","1","4700","0",80000,80000,"25","2","800","1","2","3","1","1000","1","0","0","1","0","1","1","2","1",0
"1006","906",54,"1","0","6","0","0","0","2","2","2","1",0,0,"0","2","3","1","2","1","2","2","2","1","0","16","1",0,0,"2","0","1","935","999","0","0","6","770","0","9999","0","4","1","6260","0",0,12000,"44","1","0","2","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"1007","608",93,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","22","2",0,0,"2","0","1","22","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,44600,"23","2","0","1","1","4","1","1000","1","0","0","1","0","1","2","1","1",1
"1009","1102",99,"1","0","2","0","0","2","2","1","1","2",0,0,"0","2","1","2","2","1","2","2","2","1","0","16","2",0,0,"2","0","2","22","50","0","0","6","8191","0","9999","0","1","1","5740","4",0,55200,"25","2","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"1010","1301",79,"1","0","2","0","0","0","1","2","2","2",40,1,"1","2","1","2","2","1","3","3","3","1","0","22","1",1e+05,42,"1","0","1","935","999","0","1","1","7860","37","9999","0","1","1","2310","0",1e+05,102000,"33","2","900","1","2","2","1","1000","1","0","0","1","0","1","2","2","1",0
"1011","601",89,"1","0","1","0","2","0","1","2","2","2",5,1,"1","2","5","0","0","1","3","3","3","3","15","19","2",5000,25,"1","0","2","50","22","0","1","1","8590","43","9999","0","6","1","4435","4",5000,5000,"25","2","290","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"1012","403",45,"1","0","6","1","2","2","2","1","2","2",5,0,"12","1","5","0","0","1","3","3","3","1","0","20","2",0,40,"1","0","1","84","999","0","0","1","7072","79","1210","0","6","1","810","4",70000,70000,"25","1","400","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
"1014","403",75,"1","0","1","0","0","0","1","2","2","2",12,1,"1","2","1","1","2","1","3","3","3","1","0","21","1",150000,40,"1","0","2","50","22","0","1","1","3970","49","9999","0","1","1","440","0",150000,150000,"25","2","20290","1","2","2","1","1000","1","0","0","1","0","1","1","2","1",0
"1015","610",57,"1","0","7","0","0","0","1","2","2","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","23","1",60000,30,"1","0","1","902","999","0","0","1","7270","0","9999","0","1","1","2100","0",90000,90000,"36","2","600","1","2","2","2","3000","2","0","1","1","0","0","1","2","1",0
"1016","613",67,"1","0","0","0","0","0","1","2","2","2",0,0,"0","2","5","0","0","1","2","2","2","2","13","14","1",0,0,"2","0","1","615","999","0","0","6","9920","0","9999","0","6","1","9920","0",0,0,"25","2","0","1","2","4","6","4015","4","1","0","1","0","0","0","0","1",0
"1017","806",49,"1","0","1","1","2","0","1","2","2","2",0,0,"11","1","5","0","0","1","3","3","3","1","0","16","2",62000,40,"0","0","4","999","999","0","0","1","7460","0","1200","0","6","1","1910","2",62000,62000,"25","1","800","1","2","2","8","8000","15","0","0","1","1","0","0","0","1",0
"1018","403",64,"1","0","1","0","0","0","2","2","1","2",0,0,"0","2","1","1","2","1","3","3","2","1","0","21","1",0,0,"2","0","1","94","999","0","0","6","8270","0","9999","0","1","1","5360","0",0,15600,"25","2","0","2","1","2","1","1000","1","0","0","1","0","1","2","2","1",0
"1019","613",50,"3","0","1","1","2","2","2","1","2","2",0,0,"0","1","5","0","0","2","2","2","2","3","15","16","2",3400,30,"2","3","1","706","999","8","0","6","8680","0","1970","3","6","1","4110","0",3400,3400,"207","0","0","1","2","2","6","4000","5","1","0","1","0","0","0","0","4",0
"1020","611",8,"1","0","1","0","2","0","1","2","2","2",0,0,"0","2","5","0","0","1","2","2","2","3","15","19","2",25000,60,"2","0","1","148","999","0","0","6","7870","0","9999","0","6","1","2002","0",26000,26000,"36","0","0","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"1021","702",49,"1","0","0","1","0","1","2","1","1","2",0,0,"0","1","1","1","2","1","2","2","2","1","0","24","1",0,0,"2","0","1","51","999","0","0","6","9920","0","1155","0","1","1","9920","0",0,19600,"25","1","0","1","1","2","1","1000","1","0","0","1","0","1","1","2","1",0
"1023","507",51,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","23","1",0,0,"2","0","1","3","999","0","0","6","9920","0","9999","0","1","1","9920","0",0,10500,"36","1","0","1","1","3","1","1000","1","0","0","1","0","1","1","2","1",0
"1025","607",53,"1","0","6","0","2","0","1","2","2","2",3,0,"10","2","1","1","2","1","3","3","3","1","0","21","2",0,15,"1","0","3","996","999","0","0","1","8590","67","9999","0","1","1","2723","2",20000,20000,"25","1","600","1","2","2","1","1000","1","0","0","1","0","1","2","2","1",0
"1027","1003",63,"1","0","2","0","2","0","1","2","2","2",15,2,"1","2","5","0","0","1","3","3","3","1","0","18","2",40000,50,"1","0","1","84","999","0","2","1","7970","61","9999","0","6","1","350","4",40000,40000,"25","1","1000","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
"1028","301",61,"1","0","0","0","0","0","2","2","1","2",0,0,"0","2","2","1","2","1","3","3","3","1","0","19","1",0,0,"0","0","2","50","109","0","0","6","9920","0","9999","0","3","1","9920","0",0,14400,"25","1","0","2","1","2","1","1000","1","0","0","1","0","1","0","0","1",0
"1030","100",131,"1","0","1","0","0","0","2","2","1","1",0,0,"0","2","1","1","2","1","2","2","2","1","0","20","1",0,0,"2","0","1","22","999","0","0","6","8270","0","9999","0","1","1","3603","0",0,22800,"25","1","0","2","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"1032","1001",105,"4","2","2","1","0","0","1","2","2","2",45,1,"1","1","1","1","2","1","3","3","3","1","0","22","1",72000,40,"1","3","1","553","999","5","1","1","8191","16","6290","0","1","2","5110","0",72000,72000,"440","1","800","1","2","2","2","3000","2","0","1","1","0","0","2","2","6",0
"1033","906",107,"1","0","1","0","0","0","1","2","2","2",0,0,"11","2","3","1","2","1","3","3","3","1","0","18","2",107000,50,"1","0","4","999","999","0","0","1","6991","0","9999","0","4","1","860","4",107000,107010,"25","2","900","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"1035","1002",55,"4","2","1","0","0","0","1","2","1","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","24","1",60000,40,"1","3","1","776","999","4","0","1","7280","0","9999","0","1","2","5110","0",60000,90000,"242","2","1000","1","1","1","6","4013","10","1","0","1","0","0","1","2","4",0
"1037","906",104,"1","0","5","0","2","0","1","2","2","2",50,1,"1","2","1","1","2","1","2","2","2","1","0","21","2",86000,40,"1","0","1","924","999","0","1","1","8191","24","9999","0","1","1","565","1",86000,86000,"25","1","800","1","2","2","1","1000","1","0","0","1","0","1","1","1","1",0
"1038","100",8,"1","0","1","0","2","0","1","2","2","2",15,1,"1","2","5","0","0","1","2","2","2","1","0","16","2",46000,45,"1","0","4","999","999","0","1","1","8680","52","9999","0","6","1","4020","4",46000,46000,"25","1","100","1","2","3","1","1000","1","0","0","1","0","1","0","0","1",0
"1039","901",47,"1","0","0","0","0","2","1","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","16","1",0,0,"2","0","2","32","22","0","0","6","9920","0","9999","0","1","1","9920","0",0,105000,"25","2","0","1","1","2","1","1000","1","0","0","1","0","1","0","0","1",0
"1040","905",76,"4","2","2","1","0","0","1","2","2","2",60,1,"1","1","5","0","0","1","3","3","3","1","0","23","1",70000,40,"1","3","4","999","999","7","1","1","8191","73","1737","0","6","2","1240","0",70000,70000,"210","1","800","1","2","4","6","4015","4","1","0","1","0","0","1","2","4",0
"1041","403",67,"1","0","3","0","0","0","2","2","1","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","21","2",80000,50,"1","0","2","50","26","0","0","1","7860","0","9999","0","1","1","2310","4",80000,109200,"25","2","400","2","1","1","1","1000","1","0","0","1","0","1","1","2","1",0
"1042","1004",51,"1","0","7","0","0","2","2","1","2","2",15,1,"1","2","3","1","2","1","3","3","3","1","0","16","1",5000,30,"1","0","2","22","94","0","1","1","280","19","9999","0","4","1","6115","0",10000,10000,"25","1","1000","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"1043","506",54,"1","0","1","0","0","0","2","2","2","1",0,0,"0","2","1","1","2","1","3","3","3","1","0","21","1",65000,45,"2","0","4","999","999","0","0","3","770","0","9999","0","1","1","6200","0",65000,65000,"25","2","0","2","1","2","1","1000","1","0","0","1","0","1","2","2","1",0
"1044","601",92,"1","0","0","0","0","0","2","2","2","1",0,0,"0","2","5","0","0","1","2","2","2","2","14","15","1",0,0,"2","0","1","431","999","0","0","6","9920","0","9999","0","6","1","9920","0",0,5000,"6","1","0","2","1","1","1","1000","1","0","0","1","0","1","0","0","1",1
"1046","609",70,"4","2","1","1","2","0","2","2","2","1",0,0,"0","1","5","0","0","1","2","2","2","3","15","16","2",16900,53,"2","3","2","515","587","8","0","6","6881","0","1170","0","6","2","5160","0",16900,16900,"459","0","0","2","1","1","2","3000","2","0","1","1","0","0","0","0","6",0
"1048","705",113,"4","2","0","0","0","2","2","1","1","2",0,0,"0","2","1","2","2","1","2","2","2","1","0","21","1",0,0,"2","3","1","22","999","8","0","6","9920","0","9999","0","1","2","9920","0",0,84100,"138","2","0","1","1","4","1","1000","1","0","0","1","0","1","1","2","5",0
"1049","901",84,"1","0","1","0","0","0","2","2","1","1",15,1,"1","2","2","1","2","1","3","3","3","1","0","19","1",60000,24,"1","0","4","999","999","0","1","1","4871","67","9999","0","3","1","6130","0",60000,125800,"25","2","900","2","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"1050","906",53,"1","0","0","0","0","2","2","1","2","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","19","2",0,0,"2","0","1","50","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,0,"42","2","0","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
"1051","803",32,"1","0","1","1","2","0","2","2","2","1",8,1,"1","1","5","0","0","1","3","3","3","1","0","18","2",26900,35,"1","0","1","261","999","0","1","1","5392","55","1200","0","6","1","4055","3",26900,26900,"25","1","800","2","1","4","8","8000","15","0","0","1","1","0","0","0","1",0
"1052","605",30,"1","0","1","0","0","0","1","2","2","2",45,1,"1","2","1","1","2","1","3","3","3","1","0","24","1",120000,50,"1","0","2","22","935","0","1","1","7290","79","9999","0","1","1","1360","0",120000,120000,"25","2","600","1","2","4","1","1000","1","0","0","1","0","1","1","2","1",0
"1053","605",52,"1","0","1","0","0","2","1","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","16","2",0,0,"2","0","1","50","999","0","0","6","6871","0","9999","0","1","1","910","4",0,21600,"25","1","0","1","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"1054","1103",71,"1","0","7","0","0","0","1","2","1","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","20","2",36100,40,"1","0","4","999","999","0","0","1","770","0","9999","0","1","1","5740","4",36100,36100,"25","1","1100","1","1","2","1","1000","1","0","0","1","0","1","0","0","1",0
"1055","401",72,"1","0","1","0","2","2","2","1","2","2",30,1,"1","2","5","0","0","1","3","3","3","1","0","20","2",67000,32,"1","0","1","290","999","0","1","1","7980","37","9999","0","6","1","3310","4",67000,67000,"25","2","290","1","2","1","9","9000","29","0","0","2","1","1","0","0","1",0
