"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"2697","1104",98,"1","0","1","0","0","0","1","2","2","2",15,1,"1","2","1","1","2","1","3","3","3","1","0","18","2",16000,40,"1","0","2","51","50","0","1","1","5581","61","9999","0","1","1","4720","4",16000,25800,"25","2","1100","1","2","1","1","1000","1","0","0","1","0","1","0","0","1",0
"2698","507",56,"1","0","0","0","0","0","2","2","2","1",0,0,"0","2","2","1","2","1","2","2","2","1","0","16","1",0,0,"2","0","4","999","999","0","0","6","9920","0","9999","0","3","1","9920","0",0,0,"25","1","0","2","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2699","1102",75,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","3","1","2","1","2","2","2","1","0","19","2",0,0,"2","0","2","89","939","0","0","6","9920","0","9999","0","4","1","9920","4",0,20900,"25","1","0","2","1","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2700","802",104,"1","0","1","0","2","0","1","2","2","2",35,0,"9","2","1","1","2","1","3","3","3","1","0","22","2",98000,30,"1","0","1","22","999","0","0","1","8191","40","9999","0","1","1","3258","3",98000,98000,"8","2","800","1","2","1","1","1000","1","0","0","1","0","1","2","1","1",0
"2701","613",110,"1","0","6","0","0","0","1","2","2","2",25,0,"2","2","5","0","0","1","3","3","3","2","15","20","1",0,40,"0","0","4","999","999","0","0","1","770","94","9999","0","6","1","6200","0",35000,35000,"9","2","800","1","2","2","1","1000","1","0","0","1","0","1","0","0","1",0
"2702","401",11,"1","0","1","0","0","0","1","2","2","2",60,1,"1","2","1","1","2","1","3","3","3","1","0","22","1",82000,45,"1","0","2","88","22","0","1","1","3291","37","9999","0","1","1","440","0",82000,82660,"25","1","20290","1","2","4","1","1000","1","0","0","1","0","1","2","2","1",0
"2703","1104",123,"1","0","0","0","2","0","1","2","2","1",0,0,"0","2","5","0","0","1","2","2","2","2","13","14","2",0,0,"2","0","1","50","999","0","0","6","9920","0","9999","0","6","1","9920","4",0,0,"25","1","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2704","502",69,"1","0","1","0","0","0","2","2","2","1",0,0,"0","2","1","1","2","1","2","2","2","1","0","13","1",0,0,"2","0","1","26","999","0","0","6","1870","0","9999","0","1","1","8990","0",0,21300,"25","1","0","2","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"2705","1201",66,"1","0","6","0","0","0","2","2","2","1",0,0,"11","2","5","0","0","1","3","3","3","1","0","16","2",0,10,"1","0","1","50","999","0","0","1","9090","0","9999","0","6","1","4350","4",3100,14000,"25","1","1290","2","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"2706","507",44,"1","0","0","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","19","1",0,0,"2","0","1","50","999","0","0","6","9920","0","9999","0","1","1","9920","0",0,0,"25","1","0","1","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"2707","603",89,"4","2","0","0","2","2","2","1","2","2",0,0,"0","2","3","2","2","3","2","2","2","1","0","15","2",0,0,"2","3","1","416","999","4","0","6","9920","0","9999","3","4","2","9920","4",0,0,"212","1","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","4",0
"2708","608",69,"1","0","1","0","2","0","1","2","2","2",0,0,"11","2","1","1","2","1","3","3","3","1","0","21","2",93000,40,"1","0","2","148","142","0","0","1","7590","0","9999","0","1","1","20","2",93000,95600,"25","1","600","1","2","3","1","1000","1","0","0","1","0","1","1","2","1",0
