"","RT","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","HICOV","HISP","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","WAOB","Class"
"1856","P","1",2,"601","1","25","1019518",30,"1","2","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1980,"1","4","2","5","2","2","3","0","0","0","1","22","0","2","0","0",0,40,"52","2","2","22","21","6","1","1","7860","1","1","0","2310",0,0,"26",213,"600","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1857","P","1",3,"704","1","25","1019518",66,"1","1","2","2","2","1","2","2","2","2","2","0","1","1","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","3","16","0","2","0","0",0,40,"52","1","1","360","999","6","1","1","7860","6","1","0","3255",0,0,"25",463,"600","25","1","2","1","9","9000","38","0","0","1","0","2","0","1","0","0","1","No"
"1859","P","1",1,"501","1","25","1019518",21,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",2019,"1","4","2","5","2","2","3","0","0","0","3","21","0","1","0","0",0,40,"52","2","3","996","999","6","1","1","8090","1","1","0","3620",0,0,"25",486,"600","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1861","P","1",2,"502","1","25","1019518",77,"1","1","2","2","1","1","2","2","2","2","2","1000","11","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","25000","1","21","0","1","0","0",148000,40,"52","1","2","931","50","1","1","1","7380","6","1","0","1021",148000,174000,"33",501,"500","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1862","P","1",1,"503","1","25","1019518",73,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1992,"1","4","3","5","3","3","3","0","0","0","1","21","0","2","0","0",50000,30,"52","1","1","939","999","1","1","1","7480","1","1","0","3300",50000,50000,"25",501,"500","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1863","P","1",3,"613","1","25","1019518",74,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","2","14","0","2","0","0",0,40,"52","2","1","22","999","6","1","1","7860","6","1","1","3255",0,0,"40",501,"600","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","1","1","No"
"1864","P","1",1,"1001","1","25","1019518",66,"1","1","2","0","1","2","2","1","2","2","2","0","1","2","1","2","2","1","2",2017,"1","4","3","5","3","3","3","0","0","0","1","21","0","1","0","0",95000,40,"52","1","4","999","999","1","1","1","7290","1","1","0","705",95000,95000,"25",501,"100","44","1","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1866","P","1",2,"802","1","25","1019518",141,"4","6","2","0","1","2","2","2","2","2","2","30300","10","1","1","2","2","1","2",2019,"3","4","3","5","3","3","3","0","0","0","1","16","120","2","0","0",0,40,"52","1","4","999","999","1","1","1","170","1","2","0","205",120,30420,"207",500,"600","25","1","2","2","6","4000","5","0","1","0","0","1","0","0","0","0","4","No"
"1867","P","1",1,"1201","1","25","1019518",104,"1","1","2","0","2","2","1","2","2","2","2","0","1","2","2","2","2","1","2",1967,"1","4","2","5","2","2","3","0","0","0","1","17","0","2","0","0",0,40,"52","2","2","50","89","6","1","1","7860","3","1","0","3255",0,0,"25",13,"600","25","2","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"1869","P","1",2,"804","1","25","1019518",85,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","3","2","2","2","2",2004,"1","4","2","5","2","2","3","850","0","0","1","16","0","1","10100","0",0,40,"52","2","1","902","999","6","1","1","7860","4","1","0","3255",0,10950,"25",69,"600","25","2","1","3","2","3000","2","0","0","1","0","1","0","0","0","0","1","No"
