"","RT","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","HICOV","HISP","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","WAOB","Class"
"457","P","1",2,"701","1","25","1019518",88,"1","1","2","0","2","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","1","16","0","1","0","0",0,40,"52","2","2","22","50","6","2","1","7860","6","1","0","3255",0,0,"25",0,"600","25","2","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"458","P","1",2,"603","1","25","1019518",60,"1","1","2","2","2","1","1","2","2","2","2","7200","1","2","1","2","2","1","2",1960,"1","2","2","5","2","2","3","2000","0","14600","1","19","0","1","0","0",0,40,"52","2","1","32","999","6","1","1","7860","1","1","0","3255",0,23800,"39",214,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"459","P","1",3,"702","1","25","1019518",67,"2","1","2","0","2","2","1","1","2","1","2","0","1","1","5","2","2","1","2",1994,"1","2","3","5","3","3","3","0","0","0","1","5","0","1","0","9900",0,40,"52","1","4","999","999","6","1","3","7860","6","1","0","3255",0,9900,"72",165,"600","25","2","1","1","8","8000","15","0","0","0","0","1","0","1","0","0","2","No"
"460","P","1",1,"501","1","25","1019518",30,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1982,"1","4","3","5","3","3","3","0","0","0","1","16","0","1","0","0",40000,40,"52","1","1","26","999","1","1","1","2390","1","1","0","8100",40000,40000,"25",393,"500","25","1","2","4","9","9000","29","0","0","0","0","2","0","1","1","0","1","No"
"461","P","1",2,"804","1","25","1019518",99,"3","1","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","2","12","0","2","0","0",0,40,"52","1","1","275","999","1","1","24","7860","6","1","1","3255",18000,0,"329",14,"600","25","2","1","4","8","8000","15","0","0","0","0","1","0","1","0","1","3","No"
"463","P","1",2,"403","1","25","1019518",50,"1","1","1","0","1","2","1","2","2","1","2","0","1","2","1","2","2","1","2",1974,"1","2","2","5","2","2","3","0","0","5200","1","16","0","1","0","27000",0,40,"52","2","1","22","999","6","1","1","7860","1","1","0","3255",0,32200,"20",294,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"464","P","1",1,"602","1","25","1019518",117,"1","2","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",2005,"1","4","3","5","3","3","3","0","0","0","1","22","0","1","0","0",78000,40,"52","1","2","32","50","1","1","1","7870","1","1","0","2751",78000,78000,"25",501,"700","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"465","P","1",1,"805","1","25","1019518",40,"1","2","2","0","1","2","2","2","2","2","2","0","1","1","1","2","2","1","2",2009,"3","4","3","5","3","3","3","0","0","0","1","24","0","1","0","0",120000,45,"52","1","1","211","999","1","1","2","7870","1","1","0","2205",120000,120000,"25",501,"600","25","1","2","3","8","8000","15","0","0","0","0","1","0","1","0","0","1","No"
"466","P","1",2,"704","1","25","1019518",80,"1","2","2","2","2","1","2","2","2","2","2","0","1","2","1","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","1","20","0","2","0","0",0,40,"52","2","1","94","999","6","1","1","8191","1","1","0","3300",0,0,"25",241,"600","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"469","P","1",1,"502","1","25","1019518",41,"1","1","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"3","4","3","5","3","3","3","0","0","0","1","16","0","1","0","0",0,40,"52","1","1","50","999","6","1","1","7860","6","1","0","3255",0,0,"25",449,"600","25","2","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"470","P","1",1,"705","1","25","1019518",50,"4","1","2","0","1","2","2","1","2","2","2","0","1","1","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","19","0","2","0","0",37900,45,"52","1","4","999","999","1","1","5","7460","6","2","0","1970",37900,37900,"329",158,"600","25","1","1","4","9","9000","29","0","0","0","0","2","0","1","1","0","3","No"
"471","P","1",2,"504","1","25","1019518",78,"4","5","1","0","2","2","2","1","2","2","2","0","1","2","1","2","2","3","2",1980,"1","4","3","5","3","3","3","0","0","0","1","19","0","2","0","0",72000,40,"52","1","4","999","999","1","1","1","6370","1","2","0","5540",72000,72000,"224",501,"500","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","4","No"
"472","P","1",1,"503","1","25","1019518",85,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","2","2","1","2","1",2023,"1","4","3","5","3","3","3","0","0","35000","1","21","0","1","0","0",135000,45,"52","1","1","50","999","1","1","1","7390","3","1","0","705",135000,170000,"25",501,"500","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"474","P","1",1,"806","1","25","1019518",5,"1","1","2","0","2","2","1","1","2","2","2","0","10","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","20","0","1","0","1200",21000,35,"52","1","4","999","999","1","1","1","8390","6","1","0","9620",21000,22200,"25",143,"800","25","2","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"478","P","1",1,"1102","1","25","1019518",53,"1","1","2","0","2","2","1","2","2","2","2","30","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","55000","1","21","0","1","0","21300",0,40,"52","2","2","142","935","6","1","1","7860","6","1","0","3255",0,76330,"25",501,"600","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"479","P","1",2,"301","1","25","1019518",66,"5","1","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","2","22","0","1","0","0",0,40,"52","1","4","999","999","6","1","1","7860","6","2","0","3255",0,0,"207",0,"600","25","1","2","4","6","4000","5","0","1","0","0","1","0","0","0","0","4","No"
"480","P","1",2,"804","1","25","1019518",143,"1","1","2","0","2","2","2","1","2","2","2","0","1","1","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","2","14","0","1","0","0",0,40,"52","2","2","275","261","6","1","5","7860","6","1","0","3255",0,0,"25",51,"600","25","2","1","4","9","9000","29","0","0","0","0","2","0","1","1","0","1","No"
"481","P","1",1,"401","1","25","1019518",102,"1","1","2","2","1","1","1","2","2","2","2","0","1","2","2","2","2","1","2",1964,"1","4","2","5","2","2","3","0","0","0","1","21","0","2","0","27600",0,40,"52","2","1","50","999","6","1","1","7860","3","1","0","3255",0,27600,"25",192,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"482","P","1",1,"803","1","25","1019518",26,"1","6","2","0","1","2","1","2","2","2","2","13100","1","2","1","2","2","3","2",1999,"1","4","2","5","2","2","3","0","0","3200","1","24","52000","1","0","45500",0,40,"9","2","2","89","82","6","1","1","7390","1","1","0","1800",52000,113800,"53",501,"600","25","1","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"484","P","1",2,"507","1","25","1019518",50,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","1","2","2","1","2",1978,"1","4","3","5","3","3","3","0","0","0","1","18","0","2","0","16800",0,40,"52","1","4","999","999","6","1","1","7860","1","1","0","3255",0,16800,"36",501,"600","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"485","P","1",1,"1103","1","25","1019518",56,"1","1","2","0","1","2","1","2","2","2","2","0","1","2","2","2","2","1","2",1952,"1","4","2","5","2","2","3","0","0","13200","1","21","0","2","0","22800",0,40,"52","2","1","22","999","6","1","1","7860","3","1","0","3255",0,36000,"25",248,"600","25","1","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"487","P","1",1,"613","1","25","1019518",109,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"3","4","3","5","3","3","3","0","0","0","1","22","0","1","0","0",28500,40,"36","1","2","50","190","1","1","1","3380","6","1","0","750",28500,28500,"42",183,"600","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"489","P","1",2,"401","1","25","1019518",66,"4","1","2","2","1","1","1","2","2","2","2","30","1","1","1","2","2","2","2",1978,"1","4","2","5","2","2","3","0","0","66000","1","22","0","2","0","0",0,40,"52","2","1","32","999","6","1","1","7860","1","2","0","3255",0,66030,"110",501,"600","25","1","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","5","No"
"490","P","1",1,"610","1","25","1019518",39,"4","1","2","0","2","2","1","1","2","2","2","0","1","1","3","2","2","1","2",1971,"1","4","3","5","3","3","3","0","0","0","1","1","0","2","0","6700",0,40,"52","1","1","336","999","6","1","1","7860","4","2","0","3255",0,6700,"332",141,"600","25","2","1","4","2","3000","2","0","0","1","0","1","0","0","0","0","3","Yes"
"491","P","1",2,"503","1","25","1019518",58,"1","1","2","0","1","2","2","2","2","2","2","4700","4","2","1","2","2","1","2",2012,"1","4","3","5","3","3","3","0","0","0","1","24","0","2","0","0",106000,40,"52","1","2","142","32","1","1","1","7870","1","1","0","2205",106000,110700,"25",501,"800","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"492","P","1",1,"402","1","25","1019518",85,"2","3","2","0","1","2","2","2","1","1","2","0","1","1","1","2","2","1","2",1994,"3","2","3","5","3","3","2","2000","610","0","1","21","0","1","0","0",94000,40,"52","1","1","261","999","1","1","3","9470","1","1","0","3802",94000,96610,"72",501,"400","25","1","1","2","9","9000","29","0","0","0","0","2","0","1","1","0","2","No"
"495","P","1",1,"201","1","25","1019518",11,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","3","2","2","1","2",2003,"3","4","2","1","2","2","2","0","0","0","1","18","0","1","0","0",44000,40,"52","1","1","142","999","1","1","1","5680","4","1","0","5860",44000,44000,"25",225,"290","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"497","P","1",1,"1103","1","25","1019518",91,"1","3","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1996,"1","4","3","5","3","3","3","0","0","0","1","22","0","2","0","0",80000,45,"52","1","1","51","999","1","1","1","7860","1","1","0","2310",80000,80000,"25",501,"1100","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"501","P","1",1,"1004","1","25","1019518",75,"1","1","2","2","1","1","1","2","2","2","2","0","1","2","1","2","2","1","2",1982,"1","4","3","5","2","3","3","0","0","30200","1","18","0","2","0","5900",0,40,"52","2","1","94","999","6","1","1","7860","1","1","0","3255",0,36100,"25",389,"600","25","1","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"502","P","1",2,"507","1","25","1019518",76,"1","1","2","2","1","1","1","2","2","2","2","0","1","2","1","2","2","1","2",1967,"1","4","2","5","2","2","3","0","0","4000","1","17","0","2","0","17000",0,40,"52","2","1","50","999","6","1","1","7860","1","1","0","3255",0,21000,"44",501,"600","25","1","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"505","P","1",1,"803","1","25","1019518",115,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","3","2","2","1","2",1990,"1","3","2","5","2","2","3","0","0","0","1","18","0","1","0","20400",0,40,"52","2","2","50","142","6","1","1","7860","4","1","0","3255",0,20400,"25",133,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"506","P","1",1,"903","1","25","1019518",54,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","3","16","0","1","0","0",10600,40,"7","2","2","22","21","6","1","1","7280","6","1","0","5860",10600,10600,"51",449,"600","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"510","P","1",1,"702","1","25","1019518",15,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"3","4","3","5","3","3","3","0","0","0","1","20","0","1","0","0",75000,45,"33","1","2","32","97","1","1","1","2190","6","1","0","1900",75000,75000,"25",483,"600","25","1","2","3","9","9000","17","1","0","0","0","2","0","0","1","0","1","No"
"511","P","1",1,"601","1","25","1019518",96,"4","2","2","0","2","2","2","1","2","2","2","0","1","1","4","2","2","1","2",2019,"1","4","3","5","3","3","3","0","0","0","1","19","0","2","0","0",22000,32,"52","1","1","534","999","1","1","1","8290","5","2","0","3422",22000,22000,"427",72,"700","25","2","1","1","2","3000","2","0","0","1","0","1","0","0","0","0","6","No"
"512","P","1",1,"401","1","25","1019518",144,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","3","2","2","1","2",1983,"3","4","2","5","2","2","3","0","0","0","1","19","0","1","2400","0",0,40,"52","2","1","89","999","6","1","1","8870","4","1","0","102",0,2400,"6",16,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"516","P","1",1,"1103","1","25","1019518",57,"1","7","2","0","1","2","2","2","2","2","2","0","11","2","1","2","2","1","2",2011,"1","4","3","5","3","3","3","0","0","0","1","21","0","1","0","0",150000,40,"52","1","2","142","51","1","1","1","9090","1","1","0","440",150000,150000,"25",501,"1100","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"520","P","1",1,"506","1","25","1019518",61,"1","2","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"3","4","3","5","3","3","3","0","0","0","2","20","0","2","0","0",80000,40,"52","1","1","94","999","1","1","1","8270","6","1","0","3255",80000,80000,"25",501,"600","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"524","P","1",1,"612","1","25","1019518",52,"5","1","2","0","2","2","2","1","2","2","2","0","1","1","5","2","2","1","2",1994,"2","4","2","3","2","1","3","0","0","0","3","23","0","2","0","0",0,40,"52","2","1","271","999","6","1","4","7980","6","2","0","3310",0,0,"327",0,"600","25","2","1","4","9","9000","29","0","0","0","0","2","0","1","1","0","3","No"
"525","P","1",3,"906","1","25","1019518",159,"1","1","2","0","1","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","1","16","0","2","0","0",0,40,"52","2","2","51","939","6","1","1","7860","6","1","0","3255",0,0,"25",501,"600","25","1","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"527","P","1",1,"1103","1","25","1019518",49,"1","1","2","0","2","2","1","2","2","2","2","0","1","2","3","2","2","1","2",1971,"1","4","2","5","2","2","3","0","0","0","1","16","0","2","0","0",0,40,"52","2","1","939","999","6","1","1","7860","4","1","0","3255",0,0,"25",501,"600","25","2","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"528","P","1",2,"507","1","25","1019518",31,"1","7","2","0","2","2","1","2","2","2","2","0","1","2","1","2","2","1","2",1984,"1","4","3","5","3","3","3","0","0","0","1","15","0","1","0","12000",9600,30,"52","1","1","50","999","1","1","1","3875","1","1","0","8555",9600,21600,"25",234,"1000","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"529","P","1",2,"701","1","25","1019518",59,"1","1","2","0","1","2","2","1","2","2","2","0","1","2","4","2","2","1","2",2012,"1","4","2","5","2","2","3","0","0","0","1","21","0","2","0","0",0,40,"52","2","1","22","999","6","1","1","7860","5","1","0","3255",0,0,"25",501,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"530","P","1",2,"610","1","25","1019518",76,"1","1","2","2","2","1","2","2","2","2","2","0","1","2","1","2","2","1","2",1998,"1","4","2","5","2","2","3","0","0","0","1","1","0","2","0","0",0,40,"52","2","1","51","999","6","1","1","7860","1","1","0","3255",0,0,"25",221,"600","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"531","P","1",2,"701","1","25","1019518",52,"1","1","2","0","1","2","2","2","2","2","2","0","11","2","1","2","2","1","2",2010,"1","4","3","5","3","3","3","0","0","0","1","21","0","2","0","0",82000,40,"52","1","4","999","999","1","1","1","8191","1","1","0","3140",82000,82000,"25",501,"700","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"532","P","1",2,"609","1","25","1019518",95,"4","1","2","2","1","1","1","2","2","2","2","20000","1","1","1","2","2","1","2",1979,"1","4","2","5","3","2","3","0","0","17800","1","22","0","2","0","27600",0,40,"52","2","1","706","999","6","1","1","7860","1","2","0","3255",0,65400,"207",501,"600","25","1","1","4","6","4000","5","0","1","0","0","1","0","0","0","0","4","No"
"535","P","1",1,"601","1","25","1019518",84,"1","6","2","2","2","1","2","2","2","2","2","0","1","2","1","2","2","1","2",1985,"1","4","2","5","2","2","3","0","0","0","1","21","0","1","0","0",0,40,"52","2","4","999","999","6","1","1","7380","1","1","0","1021",0,0,"36",0,"600","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"536","P","1",1,"609","1","25","1019518",99,"5","6","2","1","2","1","2","2","2","2","2","0","11","1","1","2","2","1","2",2016,"3","4","2","3","2","1","3","0","0","0","1","21","25000","1","0","0",0,40,"52","1","1","171","999","1","1","1","6190","1","2","0","9142",25000,25000,"362",104,"600","25","1","2","3","9","9000","29","0","0","0","0","2","0","1","1","0","3","No"
"537","P","1",1,"703","1","25","1019518",55,"1","1","2","0","2","2","1","2","2","2","2","0","1","2","1","2","2","2","2",1985,"1","4","2","5","2","2","3","0","0","0","1","19","0","1","0","37400",0,40,"52","2","1","51","999","6","1","1","7290","1","1","0","1460",0,37400,"25",224,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"538","P","1",1,"803","1","25","1019518",107,"1","1","2","0","2","2","1","1","2","2","1","0","1","2","3","2","2","1","2",1970,"1","4","3","5","3","3","3","0","0","0","3","16","0","2","11000","0",0,40,"52","1","3","996","999","6","1","2","7860","4","1","0","3255",0,11000,"4",77,"600","25","2","1","2","6","4008","6","0","1","0","0","1","0","0","0","0","1","No"
"539","P","1",2,"401","1","25","1019518",14,"1","1","2","0","2","2","1","2","2","2","2","0","1","2","1","2","2","1","2",1981,"1","4","3","5","3","3","3","0","0","0","1","16","0","1","0","0",0,40,"52","2","1","22","999","6","1","1","7860","1","1","0","3255",0,0,"25",57,"600","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"542","P","1",1,"501","1","25","1019518",97,"1","3","2","0","2","2","1","2","1","2","2","1200","1","2","2","2","2","2","2",1983,"1","4","2","5","2","2","3","0","0","5000","1","20","0","2","0","10300",18000,32,"24","2","2","32","22","6","1","1","7860","3","1","0","2545",18000,34500,"25",326,"600","25","1","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"545","P","1",1,"402","1","25","1019518",57,"1","1","2","2","2","1","1","2","2","2","2","4100","1","2","3","2","2","1","2",1984,"1","4","2","5","2","2","3","0","0","1200","1","16","0","2","0","16300",0,40,"52","2","2","142","50","6","1","1","7860","4","1","0","3255",0,21600,"25",137,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"547","P","1",2,"1101","1","25","1019518",130,"1","1","2","0","1","2","2","2","2","2","2","0","1","1","1","2","2","1","2",2021,"1","4","2","5","2","2","3","0","0","0","1","16","0","2","0","0",0,40,"52","2","1","510","999","6","1","1","7860","1","1","0","3255",0,0,"25",501,"600","25","1","2","1","2","3000","2","0","0","1","0","1","0","0","0","0","1","No"
"548","P","1",2,"1001","1","25","1019518",66,"1","3","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","2","2",1995,"1","4","3","5","3","3","3","0","0","0","1","21","0","2","0","0",85000,40,"52","1","4","999","999","1","1","1","7860","1","1","0","2310",85000,85000,"25",501,"900","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"551","P","1",2,"902","1","25","1019518",119,"1","1","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","0","0","1","21","0","1","0","0",0,40,"52","2","1","50","999","6","1","1","7860","6","1","0","3255",0,0,"25",501,"600","25","2","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"555","P","1",2,"504","1","25","1019518",96,"1","1","2","0","2","2","1","2","2","2","2","0","1","2","1","2","2","2","2",2000,"1","4","2","5","2","2","3","0","0","0","1","12","0","2","0","10000",0,40,"52","2","1","50","999","6","1","1","7860","2","1","0","3255",0,10000,"25",501,"600","25","2","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"557","P","1",2,"507","1","25","1019518",90,"1","1","2","2","2","1","1","2","2","2","2","0","1","1","1","2","2","1","2",1960,"1","4","2","5","2","2","3","0","0","0","1","16","0","2","0","17000",0,40,"52","2","1","26","999","6","1","1","7860","1","1","0","3255",0,17000,"25",244,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"558","P","1",1,"906","1","25","1019518",97,"1","1","2","0","2","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","3","2","1","3","0","0","0","1","1","0","1","0","0",80000,40,"52","1","1","939","999","1","2","1","7770","6","1","0","4840",80000,80000,"25",501,"900","25","2","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"559","P","1",1,"1001","1","25","1019518",102,"1","1","2","2","2","1","1","2","2","2","2","0","1","2","5","2","2","1","2",1994,"3","4","3","5","2","2","2","0","0","2000","1","18","0","2","0","18100",0,40,"52","2","2","26","84","6","1","1","7860","6","1","0","3255",0,20100,"25",138,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"560","P","1",1,"1001","1","25","1019518",47,"1","1","2","2","2","1","1","2","2","2","2","10000","1","2","1","2","2","1","2",1968,"1","4","3","5","3","3","3","0","0","22300","1","15","0","2","0","11300",0,40,"52","2","1","26","999","6","1","1","7860","1","1","0","3255",0,43600,"25",501,"600","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"562","P","1",2,"605","1","25","1019518",65,"1","2","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","20","0","2","0","0",48000,40,"52","1","2","125","32","1","1","1","8370","6","1","0","5000",48000,48000,"39",311,"600","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"563","P","1",1,"601","1","25","1019518",11,"1","1","2","0","2","2","2","1","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","2","5","2","2","3","0","370","0","1","1","0","2","9900","0",0,40,"52","2","4","999","999","6","1","1","7860","6","1","0","3255",0,10270,"25",66,"600","25","2","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","Yes"
"564","P","1",3,"606","1","25","1019518",59,"1","3","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","21","0","2","0","0",30000,40,"52","1","4","999","999","1","1","1","7860","6","1","0","3655",30000,30000,"25",501,"800","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"565","P","1",2,"901","1","25","1019518",121,"1","1","2","0","2","2","1","2","2","2","2","10000","1","2","1","2","2","1","2",2003,"1","4","2","5","2","2","3","0","0","50000","1","19","0","2","0","15000",0,40,"52","1","1","89","999","6","1","1","7860","1","1","0","3255",0,75000,"27",501,"600","25","2","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"568","P","1",1,"401","1","25","1019518",16,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",2017,"3","4","3","5","3","3","3","0","0","0","1","23","0","2","0","0",54000,40,"52","1","2","50","931","1","1","1","7480","1","1","0","3250",54000,54000,"25",501,"290","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"569","P","1",2,"905","1","25","1019518",44,"1","5","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","16","0","1","0","0",53000,40,"52","1","1","902","999","1","1","1","6370","6","1","0","5550",53000,53000,"25",343,"900","25","1","2","3","2","3000","2","0","0","1","0","1","0","0","0","0","1","No"
"572","P","1",2,"503","1","25","1019518",119,"1","2","2","2","2","1","2","2","2","2","2","0","1","2","1","2","2","1","2",2017,"1","4","3","5","3","3","3","0","0","0","1","22","0","2","0","0",75000,40,"52","1","2","22","21","1","1","1","8370","1","1","0","10",75000,75000,"25",501,"500","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"574","P","1",1,"402","1","25","1019518",61,"4","1","2","0","1","2","1","2","2","2","2","0","1","2","3","2","2","1","2",1977,"1","4","3","5","3","3","3","0","0","0","1","16","0","2","0","20000",45000,40,"52","1","1","935","999","1","1","1","5392","4","2","0","9645",45000,65000,"301",453,"400","25","1","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","7","No"
"575","P","1",1,"201","1","25","1019518",14,"1","7","2","0","2","2","1","2","2","2","2","0","1","2","1","2","2","1","2",1978,"1","4","2","5","2","2","3","0","0","0","1","16","0","1","0","2400",0,40,"52","2","1","22","999","6","1","1","4871","1","1","0","9620",0,2400,"25",29,"600","25","2","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"577","P","1",1,"806","1","25","1019518",102,"1","3","1","0","1","2","2","2","2","2","2","0","1","2","2","2","2","1","2",1983,"1","4","3","5","3","3","3","0","0","0","1","20","0","2","0","0",77000,35,"52","1","2","50","51","1","1","1","7860","3","1","0","5740",77000,77000,"25",463,"800","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"579","P","1",1,"905","1","25","1019518",49,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","3","2","2","1","2",1991,"1","4","3","5","3","3","3","0","0","0","1","19","0","2","0","0",95000,45,"52","1","2","94","97","1","1","1","4080","4","1","0","2634",95000,95000,"25",501,"900","25","1","2","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"580","P","1",2,"1301","1","25","1019518",62,"1","1","1","2","2","1","1","2","2","2","2","0","1","2","1","2","2","1","2",1972,"1","4","2","5","2","2","3","0","0","0","1","19","0","2","0","18000",0,40,"52","2","2","142","129","6","1","1","8191","1","1","0","3255",0,18000,"25",501,"600","25","1","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"582","P","1",1,"301","1","25","1019518",22,"1","2","2","0","1","2","2","2","2","2","2","0","11","2","1","2","2","1","2",2018,"1","4","3","5","3","3","3","0","0","0","1","22","0","2","0","0",65000,40,"52","1","1","615","999","1","1","1","8090","1","1","0","1105",65000,65000,"25",501,"290","25","1","2","4","6","4015","4","0","1","0","0","1","0","0","0","0","1","No"
"583","P","1",1,"609","1","25","1019518",131,"5","1","1","2","2","1","2","2","2","2","2","0","1","1","1","2","2","1","2",2000,"1","4","2","5","2","2","3","0","1000","0","1","1","0","1","0","0",0,40,"52","2","1","795","999","6","1","1","7860","1","2","0","3255",0,1000,"207",89,"600","25","1","2","3","6","4000","5","0","1","0","0","1","0","0","0","0","4","No"
