"","X","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"627",706,612,61,5,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,21,1,0,197000,1,740,999,1,1,2,201500,215,1,2,1,6,4002,7,1,0,1,0,0,4,"0"
"628",707,506,17,1,0,2,2,1,2,2,2,1,1,4,2,5,2,2,61000,1,21,2,4800,0,2,50,931,6,1,1,65800,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"629",708,803,27,4,0,1,2,1,1,2,2,3,1,4,3,5,3,3,0,1,16,2,6000,0,1,308,999,6,4,2,6000,333,1,1,4,2,3000,2,0,1,1,0,0,3,"0"
"630",709,806,48,1,0,2,2,2,2,2,2,5,1,4,3,5,3,3,0,2,16,1,0,5000,4,999,999,6,6,1,5000,6,2,2,1,1,1000,1,0,0,1,0,1,1,"0"
"631",710,803,66,5,0,2,2,2,1,2,1,3,1,4,2,1,2,1,0,1,19,2,0,2000,1,275,999,3,4,2,7000,329,2,1,3,9,9000,62,0,1,3,1,1,3,"0"
"632",712,706,97,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,21,1,0,125000,2,50,32,1,6,1,125000,19,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"633",713,100,82,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,2,0,28000,4,999,999,1,1,1,28000,9,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"634",715,402,82,1,0,2,2,1,1,2,1,1,1,4,2,3,2,2,0,3,21,2,0,54000,2,290,261,1,1,1,54000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"1"
"635",716,505,26,1,0,1,2,2,2,2,2,5,1,4,2,3,2,2,0,3,18,1,0,30900,2,50,51,6,6,1,30900,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"636",717,503,55,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,183000,2,32,111,1,1,1,183260,48,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"637",718,501,39,1,0,2,2,1,2,2,2,1,1,2,2,5,2,2,11100,1,16,1,27400,0,4,999,999,6,1,1,38530,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"638",719,1201,55,1,2,1,1,1,2,2,2,1,1,4,2,5,2,2,26000,1,20,1,26000,0,2,22,87,6,1,1,62000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"639",720,603,127,1,0,1,2,2,2,2,2,5,1,4,2,5,2,2,0,2,11,2,0,0,4,999,999,1,6,1,0,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"640",721,1002,66,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,16,1,0,40000,2,22,50,1,6,1,40000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"641",722,906,51,1,0,1,2,2,2,2,2,5,1,4,2,5,2,2,0,1,22,2,0,50000,2,26,142,1,6,1,50000,44,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"642",723,1301,67,1,0,2,2,1,2,1,2,1,1,2,2,5,2,2,0,1,18,1,23000,0,2,88,22,6,1,1,71500,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"643",724,501,61,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,21,2,0,80000,4,999,999,1,6,1,80000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"644",725,602,79,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,2,15,2,0,5500,4,999,999,1,6,1,5500,25,1,2,3,1,1000,1,0,0,1,0,1,1,"1"
"645",726,1104,65,1,1,1,1,1,2,2,2,1,1,4,2,5,2,2,0,1,22,2,16800,45000,2,22,50,6,1,1,61800,34,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"646",727,901,95,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,15,2,0,48000,4,999,999,1,1,1,48000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"647",728,601,97,1,0,1,2,1,2,2,2,1,1,4,3,5,3,3,0,1,21,2,10500,10500,2,68,50,1,1,1,21000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"648",729,403,76,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,2,0,54000,2,84,425,1,1,1,54000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"649",730,201,18,1,2,1,1,1,2,2,2,1,1,4,2,5,2,2,5300,1,21,2,15900,0,3,996,999,6,1,1,26500,6,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"650",732,706,54,1,0,1,2,2,2,2,2,1,1,4,2,1,2,1,0,1,18,1,0,80000,1,50,999,3,1,1,80000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"651",733,802,125,1,0,1,2,2,2,2,2,1,3,4,3,5,3,3,0,1,21,2,0,80000,4,999,999,1,1,1,80000,8,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"652",734,705,70,4,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,7,2,0,4000,4,999,999,1,1,2,10000,312,1,2,4,8,8000,15,0,0,1,1,0,3,"0"
"653",735,501,54,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,1,0,89000,2,50,22,1,1,1,89000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"654",736,100,67,1,1,2,1,2,1,2,2,3,1,4,3,5,3,3,0,1,20,1,0,40000,1,87,999,1,4,1,68000,36,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"655",737,1001,114,1,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,1,16,2,0,43000,4,999,999,1,6,1,43000,44,1,2,4,1,1000,1,0,0,1,0,1,1,"1"
"656",738,906,65,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,24,1,0,88000,2,84,26,1,1,1,88000,44,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"657",740,506,92,1,2,2,1,1,2,2,2,1,1,4,3,5,3,3,7200,1,20,2,19800,0,1,50,999,6,1,1,27000,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"658",741,904,83,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,100000,2,142,50,1,1,1,100000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"659",742,603,93,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,22,2,0,135000,2,50,51,1,1,1,135000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"660",743,1201,82,1,0,1,2,1,2,2,2,1,1,4,3,5,3,2,1600,1,16,1,34800,0,1,50,999,6,1,1,55000,11,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"661",744,611,31,5,2,2,1,2,2,2,1,5,1,4,3,5,3,3,0,3,19,2,0,6500,1,170,999,1,6,2,6500,161,1,2,2,1,1000,1,0,0,1,0,1,4,"0"
"662",745,100,40,1,2,1,1,1,2,2,2,1,1,4,2,5,2,2,0,1,19,1,18600,0,1,50,999,6,1,1,20600,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"663",746,906,97,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,1,0,131000,2,32,50,1,1,1,131500,34,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"664",747,607,63,4,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,22,1,0,190000,1,706,999,1,1,2,201000,240,1,2,1,6,4005,10,1,0,1,0,0,4,"0"
"665",748,611,67,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,3,23,2,0,51000,1,195,995,1,6,1,51000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"666",749,403,102,1,2,1,1,2,2,2,1,1,1,4,3,5,3,3,0,1,21,2,0,45000,1,84,999,1,1,1,45000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"667",750,604,213,5,1,2,1,2,2,2,1,5,1,2,3,5,3,3,0,3,16,1,0,0,4,999,999,1,6,2,30000,362,1,2,3,1,1000,1,0,0,1,0,1,3,"0"
"668",751,904,57,1,0,2,2,2,1,2,2,1,1,4,2,5,2,2,0,1,22,1,0,0,2,51,142,6,1,1,0,25,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"669",752,1201,57,1,2,2,1,1,2,2,1,1,3,2,2,5,2,2,54000,1,21,1,1400,0,1,431,999,6,1,1,85450,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"670",753,1301,117,1,0,1,2,1,2,2,2,1,1,4,3,5,3,3,0,1,19,1,35000,100000,1,50,999,1,1,1,135010,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"671",754,611,82,1,2,2,1,1,1,2,2,5,1,4,3,5,3,3,0,3,22,2,14200,0,4,999,999,6,6,1,14200,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"672",756,503,64,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,2,21,1,0,7200,1,939,999,6,6,1,7200,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"673",757,1004,120,1,0,1,2,2,2,2,2,1,1,2,3,5,3,3,0,1,20,1,0,141000,4,999,999,1,1,1,141000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"674",758,1104,55,1,0,2,2,2,1,2,2,5,1,4,3,5,3,2,0,3,19,2,0,18500,1,50,999,1,6,1,18500,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"675",759,612,53,1,2,2,1,1,2,2,2,5,1,4,3,5,3,3,0,1,16,1,19000,0,1,11,999,6,6,1,19000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"1"
"676",760,801,80,1,0,1,2,2,2,2,2,5,3,4,2,5,2,2,0,3,19,2,0,0,2,50,32,6,6,1,0,39,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"677",761,1004,26,1,0,1,2,2,2,2,1,5,1,4,3,5,2,2,0,2,13,1,0,0,3,996,999,6,6,1,0,8,1,2,2,6,4014,9,1,0,1,0,0,1,"0"
"678",763,502,51,1,0,1,2,1,2,1,2,1,1,2,2,5,2,2,2500,1,17,1,15700,0,2,26,51,6,1,1,20450,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"679",764,901,110,1,2,2,1,1,2,2,2,5,1,4,2,3,2,2,0,1,21,2,29000,0,1,50,999,6,6,1,29000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"680",765,1102,64,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,18,1,0,50000,2,50,22,1,1,1,50000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"681",766,706,206,1,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,1,21,2,0,75000,2,50,32,1,6,1,75000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"682",767,1003,60,1,0,1,2,2,2,2,2,1,1,4,2,5,2,2,60000,1,19,2,0,0,2,84,26,6,1,1,60000,6,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"683",768,503,55,5,0,1,2,2,2,2,1,1,3,4,3,5,3,3,0,1,22,2,0,70000,1,615,999,1,1,2,70000,210,1,2,3,6,4015,4,1,0,1,0,0,4,"0"
"684",769,705,16,1,0,2,2,2,1,2,2,5,1,4,2,5,2,2,0,1,15,2,0,0,4,999,999,6,6,1,6000,25,2,1,3,2,3000,2,0,1,1,0,0,1,"0"
"685",770,1201,55,1,2,2,1,1,2,2,2,1,1,4,3,5,2,2,4000,1,22,1,33000,0,2,32,50,6,1,1,37000,34,1,1,2,1,1000,1,0,0,1,0,1,1,"1"
"686",771,804,40,2,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,2,14,1,0,0,4,999,999,6,6,1,4000,78,1,2,3,2,3000,2,0,1,1,0,0,2,"0"
"687",772,906,35,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,17,1,0,40000,2,291,32,1,6,1,40000,25,1,2,3,9,9000,29,0,0,2,1,1,1,"0"
"688",773,502,73,1,0,2,2,2,1,2,2,5,3,4,3,5,3,3,0,1,10,1,0,0,4,999,999,6,6,1,0,36,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"689",774,1201,107,1,2,1,1,2,2,2,2,1,1,4,2,1,2,1,0,1,21,1,0,76000,1,50,999,3,1,1,76000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"690",775,806,53,4,0,2,2,2,2,2,1,5,1,4,2,1,2,2,0,3,16,1,0,2800,1,522,999,1,6,2,2800,416,2,2,4,2,3000,2,0,1,1,0,0,6,"0"
"691",776,904,82,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,16,1,0,40000,1,939,999,1,6,1,40000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"692",777,1201,62,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,90000,1,51,999,1,1,1,90000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"693",778,301,50,1,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,3,18,2,0,6800,2,32,142,1,6,1,7050,6,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"694",779,506,59,1,0,1,2,2,2,2,2,1,3,4,2,5,2,2,0,1,20,1,0,95000,4,999,999,1,1,1,95000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"695",780,903,110,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,22,2,0,75000,1,935,999,1,1,1,75000,23,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"696",781,704,183,4,0,1,2,2,2,2,1,1,1,4,3,1,3,2,0,1,16,1,0,40000,4,999,999,1,1,2,40000,206,1,2,2,6,4007,10,1,0,1,0,0,4,"0"
"697",782,606,93,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,20,1,0,80000,2,50,935,1,6,1,84000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"698",783,1301,173,1,0,1,2,2,2,2,2,1,1,4,2,5,2,2,0,1,22,1,0,140000,1,939,999,6,1,1,140000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"699",784,704,82,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,19,2,0,25000,1,50,999,1,1,1,25000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"700",785,606,92,1,0,1,2,1,2,2,2,3,1,4,2,5,2,2,30000,1,22,2,0,3500,2,50,84,6,4,1,34500,9,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"701",786,301,107,1,2,2,1,2,2,2,2,1,1,4,3,5,3,3,0,1,22,2,0,0,2,32,998,1,1,1,22300,36,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"702",787,504,44,1,0,2,2,1,1,2,2,5,1,4,3,5,3,3,0,1,12,1,0,20000,4,999,999,1,6,1,20000,6,2,1,2,8,8000,15,0,0,1,1,0,1,"0"
"703",788,1004,128,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,2,19,1,0,34000,2,84,50,1,6,1,34000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"704",789,608,77,1,0,2,2,2,2,2,2,5,1,4,2,5,2,2,0,1,16,1,0,0,2,50,22,6,6,1,0,25,2,2,2,1,1000,1,0,0,1,0,1,1,"0"
"705",790,802,37,1,0,1,2,2,2,2,2,4,1,4,3,5,3,3,0,1,21,2,0,0,2,50,26,1,5,1,60000,33,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"706",791,506,50,1,0,1,2,2,2,2,2,1,1,4,1,2,2,2,3500,1,16,1,0,38500,2,935,920,2,1,1,42000,25,1,2,4,9,9000,17,0,0,2,0,1,1,"0"
"707",792,602,191,1,0,1,2,2,2,2,2,1,3,4,3,5,3,3,0,1,19,1,0,90000,2,22,94,1,1,1,90000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"708",793,1104,112,1,0,1,2,2,2,2,2,1,3,4,3,5,3,3,0,1,21,2,0,55000,1,51,999,1,2,1,55000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"709",794,505,97,1,0,1,2,2,2,2,1,5,3,4,3,5,3,3,0,1,20,1,0,40000,1,82,999,1,6,1,40000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"710",795,401,97,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,22,2,0,53000,2,50,26,1,1,1,53000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"711",796,1101,134,4,0,2,2,2,1,2,1,1,1,4,3,5,3,3,0,1,15,2,0,85000,4,999,999,1,2,2,85000,332,2,1,4,2,3000,2,0,1,1,0,0,3,"0"
"712",797,1002,112,1,0,2,2,1,2,2,2,1,1,2,3,5,3,3,0,1,16,1,20400,0,2,22,32,1,1,1,52200,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"713",798,805,51,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,22,2,0,79000,2,88,77,1,1,1,79000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"714",799,612,49,4,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,23,2,0,170000,1,706,999,1,1,2,170000,207,1,2,2,6,4000,5,1,0,1,0,0,4,"0"
"715",800,806,59,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,23,2,0,157000,1,51,999,1,1,1,157000,34,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"716",801,905,49,1,0,2,2,1,1,2,1,3,1,4,2,5,2,2,0,1,1,2,0,0,1,902,999,6,4,1,0,25,2,1,4,2,3000,2,0,1,1,0,0,1,"1"
"717",802,806,33,1,0,2,2,2,1,2,1,1,1,4,3,5,3,3,0,1,18,2,0,45000,4,999,999,1,1,1,45000,25,2,1,1,8,8000,15,0,0,1,1,0,1,"0"
"718",803,703,108,1,0,1,2,2,2,2,2,1,1,2,3,5,3,3,40000,1,18,1,0,60000,1,84,999,1,1,1,125000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"719",804,804,78,1,0,2,2,2,1,2,1,5,1,4,2,5,2,2,0,2,13,1,0,0,1,510,999,6,6,1,0,25,2,1,2,8,8000,15,0,0,1,1,0,1,"0"
"720",805,100,176,4,0,2,2,1,2,2,2,2,1,4,2,5,2,2,0,1,19,2,19000,0,1,785,999,6,3,2,20600,138,2,1,3,1,1000,1,0,0,1,0,1,5,"0"
"721",807,1301,177,5,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,24,1,0,90000,1,21,999,1,1,2,90000,126,1,2,4,1,1000,1,0,0,1,0,1,5,"0"
"722",808,1002,76,1,0,1,2,2,2,2,2,5,1,4,2,5,2,2,0,2,18,2,0,1000,2,51,32,1,6,1,1000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"723",809,604,61,1,0,1,2,2,2,2,2,5,1,4,2,5,2,2,0,2,13,1,0,4000,2,88,51,6,6,1,4000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"724",810,703,59,1,0,2,2,1,2,1,2,1,1,2,2,5,2,2,65000,1,22,1,35000,100000,1,142,999,6,1,1,202000,9,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"725",811,612,28,1,2,2,1,1,2,2,2,5,1,4,3,5,3,3,15100,1,21,2,9800,0,2,32,998,1,6,1,67400,9,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"726",812,906,54,1,2,2,1,1,2,1,2,1,1,2,2,5,2,2,0,1,21,1,38500,0,1,924,999,6,1,1,110500,19,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"727",813,801,113,1,0,1,2,2,1,2,2,5,1,4,3,5,3,3,0,1,20,2,0,74000,2,919,308,1,6,1,74000,25,1,1,2,2,3000,2,0,1,1,0,0,1,"0"
"728",815,610,79,1,0,2,2,2,2,2,2,1,1,4,3,5,3,3,0,1,19,2,0,0,4,999,999,6,1,1,0,12,2,2,2,1,1000,1,0,0,1,0,1,1,"0"
"729",816,606,53,2,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,20,1,0,110000,1,91,999,1,1,1,110000,72,1,2,2,9,9000,29,0,0,2,1,1,2,"0"
"730",817,902,13,1,2,1,1,2,2,2,2,5,1,4,2,1,2,2,0,3,19,1,0,2200,1,939,999,1,6,1,2200,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"731",818,703,96,1,0,2,2,2,1,2,2,1,1,4,3,5,3,3,0,1,21,2,0,62000,2,51,46,1,1,1,62000,13,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"732",819,902,96,1,0,1,2,2,2,2,2,3,1,4,3,5,3,3,0,1,21,2,0,58000,2,50,32,1,4,1,58000,17,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"733",820,1102,85,4,0,1,2,1,1,2,1,1,1,4,3,5,3,3,0,1,20,1,0,0,1,234,999,3,1,2,14200,364,1,1,2,9,9000,29,0,0,2,1,1,3,"0"
"734",821,905,37,4,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,21,2,0,140000,1,720,999,1,1,2,140000,233,1,2,2,6,4008,6,1,0,1,0,0,4,"0"
"735",822,701,64,4,0,2,2,2,1,2,1,3,1,4,3,5,3,3,0,1,20,1,0,80000,4,999,999,1,4,2,80000,301,2,1,2,1,1000,1,0,0,1,0,1,7,"0"
"736",823,706,105,1,2,1,1,2,2,2,2,1,1,4,2,1,2,1,0,1,21,2,0,1000,2,22,935,3,1,1,1000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"737",824,1101,29,4,2,2,1,2,2,2,1,1,1,4,3,5,3,3,0,1,1,1,0,24000,1,510,999,1,1,2,24000,408,1,2,1,9,9000,38,0,1,2,1,0,6,"0"
"738",826,201,20,1,0,1,2,2,2,1,2,1,1,2,3,5,3,3,0,1,17,1,0,55000,1,935,999,1,1,1,75000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"1"
"739",827,601,51,1,0,1,2,2,2,2,2,3,1,4,3,5,3,3,0,1,19,2,0,78000,1,88,999,1,4,1,78000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"740",829,401,66,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,2,19,1,0,0,1,939,999,6,6,1,0,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"741",830,1201,77,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,19,1,0,45000,2,50,22,1,6,1,45000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"742",831,611,112,1,2,1,1,1,2,2,2,5,1,4,2,5,2,2,31200,1,22,2,34000,5000,1,22,999,6,6,1,71700,17,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"743",832,611,33,1,2,1,1,1,2,2,2,2,1,4,2,5,2,2,6900,1,21,2,12100,0,2,32,22,6,3,1,111000,36,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"744",833,611,35,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,22,1,0,130000,2,21,32,1,1,1,130000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"745",835,902,60,1,2,2,1,2,2,2,2,1,1,4,2,5,2,2,0,1,21,2,0,0,1,195,999,6,1,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"746",836,901,60,1,2,1,1,2,2,2,2,5,1,4,3,5,3,3,0,1,22,1,0,100000,4,999,999,1,6,1,100000,25,1,2,1,7,7508,14,0,0,1,0,0,1,"0"
"747",838,804,32,2,0,1,2,2,2,2,1,1,1,4,1,5,2,2,0,1,20,2,0,32800,1,261,999,2,1,1,32800,72,1,2,3,8,8000,15,0,0,1,1,0,2,"0"
"748",839,705,71,1,2,2,1,2,2,2,2,5,1,4,3,5,3,3,0,1,16,2,0,22000,1,51,999,1,6,1,22000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"749",840,613,105,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,22,2,0,88000,1,50,999,1,6,1,102500,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"750",841,805,79,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,22,1,0,110000,1,998,999,1,6,1,120000,9,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"751",842,1004,53,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,2,13,1,0,500,2,51,50,1,6,1,500,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"752",843,905,80,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,3,13,2,0,3000,1,50,999,1,6,1,3000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"753",844,1001,103,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,20000,1,16,2,0,0,4,999,999,6,1,1,20000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"754",845,904,63,4,0,1,2,2,2,2,1,3,1,4,3,5,3,3,0,1,16,1,0,74000,1,706,999,1,4,2,77500,207,1,2,4,6,4000,5,1,0,1,0,0,4,"0"
"755",846,607,47,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,83000,3,996,999,1,1,1,183000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"756",847,1102,173,1,2,1,1,1,2,2,2,1,1,4,3,5,2,2,17500,1,20,2,13800,0,2,142,50,6,1,1,31300,9,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"757",848,401,60,1,0,2,2,1,2,2,2,2,1,4,2,5,2,2,0,1,20,2,2900,0,1,32,999,6,3,1,50000,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"758",850,805,164,1,0,1,2,2,2,2,2,1,3,4,3,5,3,3,0,1,22,2,0,130000,1,50,999,1,1,1,130000,36,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"759",851,608,60,1,2,1,1,1,2,2,2,2,1,4,2,5,2,2,71000,1,22,1,2700,0,1,51,999,6,3,1,73700,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"760",852,611,62,1,2,2,1,1,2,2,2,2,1,4,2,5,2,2,36000,1,18,2,33000,0,1,84,999,6,3,1,69000,25,1,1,3,1,1000,1,0,0,1,0,1,1,"1"
"761",853,706,56,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,20,1,0,120000,1,50,999,1,1,1,120000,42,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"762",854,1004,181,5,0,1,2,2,2,2,1,5,1,4,2,5,2,2,0,2,12,2,0,0,1,510,999,1,6,2,0,408,1,2,4,9,9000,38,0,1,2,1,0,6,"0"
"763",855,806,43,1,0,1,2,1,1,2,2,1,1,4,2,5,2,3,5600,1,16,1,21000,11000,1,51,999,1,1,1,38600,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"764",856,602,174,4,0,2,2,2,1,2,1,1,1,4,3,5,3,3,0,1,20,2,0,22400,1,336,999,1,1,2,52400,332,2,1,1,2,3000,2,0,1,1,0,0,3,"0"
"765",857,1002,63,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,19,1,0,70000,1,50,999,1,1,1,70000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"766",858,1004,40,1,0,2,2,1,1,2,1,1,1,4,2,5,2,2,0,1,11,2,12600,0,1,939,999,6,1,1,12600,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
