"","X","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"15",18,902,63,1,2,2,1,2,2,2,1,1,1,4,3,5,3,3,0,1,21,2,0,120000,1,210,999,1,1,1,120000,48,1,2,4,9,9000,29,0,0,2,1,1,1,"0"
"16",19,604,46,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,18,2,0,100000,2,51,50,1,1,1,100000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"17",20,201,193,1,2,2,1,1,1,2,2,5,1,4,3,5,3,3,0,1,14,1,3000,500,4,999,999,3,6,1,11700,36,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"18",21,611,58,1,0,1,2,1,2,2,2,1,1,4,3,5,3,3,0,1,18,1,27700,35000,2,32,142,1,1,1,62700,9,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"19",22,609,96,1,0,1,2,2,2,2,2,1,3,4,3,5,3,3,0,1,22,2,0,115000,2,22,51,1,1,1,115000,50,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"20",23,902,91,1,0,2,2,1,1,2,2,1,1,4,2,5,2,2,10100,1,16,2,0,0,1,50,999,6,1,1,26900,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"21",24,806,86,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,22,2,0,95000,2,84,261,1,6,1,95000,36,1,2,3,9,9000,29,0,0,2,1,1,1,"0"
"22",25,703,44,4,2,2,1,1,2,2,2,1,1,4,2,5,2,2,6000,1,15,2,1300,0,2,32,171,6,1,2,7300,110,1,1,3,1,1000,1,0,0,1,0,1,5,"0"
"23",26,703,100,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,3,21,2,0,20000,3,996,999,1,1,1,20000,25,1,2,2,8,8000,15,0,0,1,1,0,1,"0"
"24",28,608,77,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,21,1,0,150000,2,148,144,1,6,1,150000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
