"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"2058",604,62,1,2,2,1,2,2,2,0,2,1,1,2,3,5,3,3,0,1,21,1,0,56000,4,999,999,1,1,1,91000,34,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2059",402,49,1,0,1,2,2,2,2,0,2,5,3,4,2,5,2,2,0,3,18,1,0,1900,1,939,999,6,6,1,1900,34,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2061",604,73,5,0,2,2,2,2,2,0,1,1,2,4,2,5,2,2,0,1,21,1,0,0,1,706,999,6,2,2,0,207,2,2,3,6,4000,5,1,0,1,0,0,4,"0"
"2062",1002,82,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,0,4,999,999,6,6,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2063",502,77,1,2,1,1,1,1,2,1000,2,3,1,4,2,5,2,2,0,1,16,2,11800,0,1,599,999,6,4,1,12800,25,1,1,1,2,3000,2,0,1,1,0,0,1,"0"
"2064",607,59,5,0,1,2,2,2,2,3000,1,5,1,4,2,5,2,2,0,2,16,1,0,0,1,706,999,6,6,2,3000,207,1,2,4,6,4000,5,1,0,1,0,0,4,"0"
"2065",703,29,1,0,1,2,2,2,2,100,2,1,1,4,3,5,3,3,0,2,21,1,0,180000,2,50,51,1,1,1,180100,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2068",507,93,1,0,1,2,1,2,2,0,2,3,1,3,2,5,2,2,0,1,19,1,45500,0,2,26,142,6,4,1,95500,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"2069",401,114,1,0,1,2,2,2,2,0,2,3,1,4,3,1,1,1,0,1,20,2,0,30000,2,50,26,1,4,1,30000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2070",507,196,1,0,1,2,2,1,2,0,2,5,1,4,2,5,2,2,0,1,16,2,0,0,1,51,999,6,6,1,0,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2071",706,45,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,2,18,2,0,28000,1,51,999,1,6,1,28000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2074",502,62,1,0,2,2,2,1,2,0,2,1,3,4,3,5,3,3,0,1,12,1,0,0,4,999,999,6,2,1,0,18,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2075",1101,220,1,0,1,2,2,2,2,0,2,5,1,4,2,5,3,2,0,1,16,1,0,0,4,999,999,6,6,1,0,25,1,2,1,6,4007,10,1,0,1,0,0,1,"0"
"2077",801,127,1,0,1,2,2,2,2,0,1,5,1,4,2,5,2,2,0,3,19,1,0,0,1,615,999,6,6,1,0,36,1,2,1,6,4015,4,1,0,1,0,0,1,"0"
"2078",1004,66,1,0,1,2,2,1,2,15000,2,5,1,4,3,5,3,3,0,1,16,1,0,7700,1,51,999,1,6,1,22700,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"2079",608,50,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,36000,4,999,999,1,1,1,36000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2080",100,62,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,11000,1,15,2,1500,7400,2,3,148,1,6,1,19900,25,2,1,2,1,1000,1,0,0,1,0,1,1,"1"
"2081",403,98,1,0,2,2,1,2,2,33000,2,3,1,4,2,3,2,2,0,1,16,1,6000,93000,4,999,999,1,4,1,132000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"2082",607,78,1,0,1,2,2,2,2,0,2,1,3,4,3,5,3,3,0,1,21,2,0,90000,2,51,50,1,1,1,90000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2083",701,71,1,2,2,1,1,1,2,0,2,5,1,4,3,5,3,3,0,1,16,2,31200,0,4,999,999,6,6,1,31200,25,1,1,3,1,1000,1,0,0,1,0,1,1,"1"
"2084",605,95,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,16000,2,11,2,0,0,2,50,32,1,6,1,16000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2085",1004,44,1,0,1,2,1,2,2,0,2,1,1,4,2,5,2,2,62000,1,23,1,0,0,4,999,999,6,1,1,62000,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"2086",403,85,1,0,1,2,1,2,2,0,2,1,1,4,2,5,2,2,48000,1,22,2,4800,0,2,50,22,6,1,1,52800,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"2087",402,135,1,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,22,2,0,80000,1,291,999,1,1,1,80000,25,1,2,2,9,9000,29,0,0,2,1,1,1,"0"
"2088",612,57,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,0,1,935,999,1,1,1,48000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2089",610,79,1,0,1,2,2,2,2,0,2,5,3,2,3,5,3,3,0,1,21,1,0,76000,2,425,261,1,6,1,76000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2092",612,78,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,0,2,14,1,0,3000,1,939,999,6,6,1,3000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2093",401,152,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,3600,1,21,2,18200,0,1,917,999,6,1,1,21800,25,2,1,1,9,9000,17,0,0,2,0,1,1,"0"
"2094",612,43,4,0,1,2,2,2,2,1000,2,5,1,4,3,5,3,3,0,1,21,2,0,45000,1,706,999,1,6,2,46000,207,1,2,3,6,4000,5,1,0,1,0,0,4,"0"
"2095",706,68,1,0,1,2,2,1,2,0,2,5,1,4,3,5,3,3,0,1,18,2,0,31700,2,26,51,1,6,1,31700,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"2096",505,98,5,2,2,1,2,2,2,0,1,1,3,4,2,5,2,2,0,3,22,2,0,4000,1,785,999,6,1,2,4000,247,1,2,3,6,4014,9,1,0,1,0,0,4,"0"
"2097",605,45,1,2,2,1,1,2,2,70000,2,3,1,4,3,5,3,3,2000,1,20,1,28000,0,4,999,999,6,4,1,100000,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"2099",613,91,1,0,1,2,2,2,2,500,2,1,1,4,3,5,3,3,0,1,24,1,0,193000,2,50,998,1,1,1,193500,33,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2100",1003,77,1,0,2,2,1,2,2,1200,2,5,1,4,2,5,2,2,9500,1,21,2,20500,0,1,22,999,6,6,1,31200,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2102",403,50,4,2,2,1,1,2,2,1200,2,2,1,4,2,5,2,2,11900,1,21,1,30900,0,1,88,999,6,3,2,44000,140,1,1,4,1,1000,1,0,0,1,0,1,5,"0"
"2103",401,97,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,37000,1,50,999,1,6,1,37000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2104",201,15,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,2000,1,16,2,0,69000,1,46,999,1,1,1,71000,9,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2105",1101,36,4,2,2,1,2,2,2,0,1,1,1,4,3,5,3,3,0,1,17,2,0,33000,1,336,999,1,1,2,33000,332,1,2,3,2,3000,2,0,1,1,0,0,3,"0"
"2106",604,94,1,0,1,2,2,2,2,18500,2,5,1,4,3,5,3,3,16000,1,16,1,0,42000,2,51,32,1,6,1,76500,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2107",901,57,1,2,2,1,2,2,2,0,2,5,3,4,3,5,3,3,0,1,23,1,0,185000,1,190,999,1,6,1,185000,34,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2108",201,141,1,2,1,1,2,2,2,0,2,1,3,4,3,5,3,3,0,1,18,2,0,17000,4,999,999,1,2,1,17000,29,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2109",403,104,1,0,1,2,2,2,2,0,2,3,1,4,3,5,3,3,0,1,21,2,0,70000,2,142,50,1,4,1,70000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2110",403,59,1,0,1,2,2,2,2,0,2,1,1,3,3,5,3,3,0,1,20,1,0,57000,4,999,999,1,2,1,57000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2111",605,69,5,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,22,1,0,133000,1,615,999,1,1,2,133000,210,1,2,2,6,4015,4,1,0,1,0,0,4,"0"
"2112",1002,106,1,0,2,2,1,1,2,0,2,5,1,4,2,5,2,2,0,1,12,1,13000,0,1,26,999,6,6,1,13000,24,2,1,1,1,1000,1,0,0,1,0,1,1,"1"
"2113",904,88,4,0,2,2,2,1,2,0,1,4,1,4,3,5,3,3,0,2,21,1,0,73000,4,999,999,3,5,2,73000,207,2,1,2,6,4000,5,1,0,1,0,0,4,"0"
"2114",902,95,1,0,1,2,2,2,2,0,2,4,1,4,1,5,2,3,0,1,22,2,0,114000,2,51,50,2,5,1,114000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2115",609,64,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,4000,4,999,999,1,6,1,4000,24,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2116",503,84,1,2,2,1,1,2,2,0,2,5,1,4,2,5,2,2,39800,1,22,2,30300,0,1,998,999,6,6,1,70100,36,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"2117",704,52,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,0,2,13,2,0,0,4,999,999,1,6,1,0,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2118",803,58,1,2,2,1,2,2,2,0,1,5,1,4,3,5,3,3,0,1,19,1,0,27000,1,261,999,1,6,1,27000,12,1,2,4,9,9000,29,0,0,2,1,1,1,"0"
"2120",607,99,1,0,2,2,1,2,2,6500,2,1,1,4,2,5,2,2,29000,1,22,2,35800,0,1,12,999,6,1,1,71300,51,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2122",803,129,2,0,2,2,1,1,2,20,1,3,3,4,2,5,2,2,0,1,1,1,0,0,1,261,999,6,4,1,20,72,1,1,2,8,8000,15,0,0,1,1,0,2,"0"
"2123",703,51,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,60000,4,999,999,1,1,1,60000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2124",602,37,5,0,1,2,2,2,2,0,2,3,3,4,3,5,3,3,0,1,21,1,0,42000,1,599,999,1,4,2,42000,440,1,2,2,2,3000,2,0,1,1,0,0,6,"0"
"2125",1004,55,1,0,2,2,1,2,2,0,2,4,1,4,2,5,2,2,0,1,17,2,8000,0,1,935,999,6,5,1,8000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2126",501,63,2,0,1,2,2,2,2,0,1,5,1,4,3,5,3,3,0,1,16,1,0,46000,1,261,999,1,6,1,46000,72,1,2,4,9,9000,60,0,1,3,0,1,2,"0"
"2127",201,101,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,21,2,0,12000,2,50,148,1,6,1,12000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2128",604,83,1,0,1,2,2,2,2,0,2,5,1,4,2,1,2,1,0,1,21,1,0,0,2,22,32,3,6,1,0,48,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2129",806,211,1,2,2,1,2,2,2,20,2,5,1,4,3,5,3,3,0,1,16,2,0,26000,4,999,999,1,6,1,26020,20,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2130",804,196,1,0,2,2,1,1,2,0,2,2,1,4,2,5,2,2,0,1,16,1,20000,0,1,902,999,6,3,1,20000,51,2,1,4,2,3000,2,0,1,1,0,0,1,"0"
"2131",905,92,4,0,1,2,2,2,2,36000,1,1,1,4,3,5,3,3,0,1,24,1,0,170000,1,620,999,1,1,2,206000,210,1,2,3,6,4015,4,1,0,1,0,0,4,"0"
"2132",613,18,4,0,2,2,2,1,2,0,1,5,1,4,2,5,2,2,0,3,16,2,0,16900,2,515,587,6,6,2,16900,459,2,1,1,2,3000,2,0,1,1,0,0,6,"0"
"2133",1201,71,1,2,1,1,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,10200,2,84,50,1,6,1,26200,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2134",505,79,4,0,2,2,1,2,2,22800,1,1,1,4,3,5,3,3,0,1,17,1,0,28000,2,290,226,1,1,2,50800,312,2,1,1,8,8000,15,0,0,1,1,0,3,"0"
"2135",505,53,4,0,2,2,1,2,2,0,1,1,1,4,2,5,2,2,0,1,9,2,0,0,1,46,999,6,1,2,0,116,2,1,3,1,1000,1,0,0,1,0,1,5,"0"
"2136",805,74,1,0,1,2,1,1,2,0,2,3,1,4,3,5,3,3,0,1,16,2,6400,0,1,902,999,6,4,1,6400,45,1,1,3,2,3000,2,0,1,1,0,0,1,"1"
"2137",904,90,1,0,2,2,1,2,1,0,2,1,3,2,3,5,3,3,0,1,22,1,3100,0,1,32,999,6,2,1,3100,36,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"2138",604,94,1,0,1,2,2,2,2,0,2,1,1,4,2,5,2,2,0,1,21,2,0,0,3,996,999,6,1,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2139",906,56,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,18,2,0,42000,2,50,32,1,1,1,42000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2140",403,144,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,1,0,158000,2,142,114,1,1,1,158000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2141",701,71,1,0,2,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,22,2,0,100000,4,999,999,3,6,1,100000,25,2,2,4,6,4002,7,1,0,1,0,0,1,"1"
"2142",601,95,4,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,22,1,0,175000,1,615,999,1,1,2,175000,210,1,2,1,6,4015,4,1,0,1,0,0,4,"0"
"2143",1201,36,1,2,2,1,1,2,2,0,2,2,1,4,2,5,2,2,30000,1,23,2,26000,0,1,22,999,6,3,1,56000,44,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2145",504,127,1,0,1,2,2,2,2,0,2,1,3,4,3,5,3,3,0,1,21,2,0,44500,2,50,26,1,1,1,44500,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2146",608,118,5,0,1,2,1,2,1,0,2,2,1,4,3,5,3,2,32000,1,16,2,8000,0,1,50,999,6,3,2,52000,119,1,1,3,1,1000,1,0,0,1,0,1,5,"0"
"2147",906,104,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,1,0,110000,2,32,142,1,1,1,110000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2148",401,90,1,2,1,1,1,2,2,0,1,1,1,2,2,5,2,2,31200,1,19,1,0,0,1,50,999,6,1,1,31200,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2149",612,96,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,24,1,0,165000,1,50,999,1,1,1,165000,6,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2150",802,38,1,2,2,1,2,2,2,0,2,5,3,4,3,5,3,3,0,3,16,2,0,0,1,261,999,6,6,1,0,42,1,2,2,2,3000,2,0,1,1,0,0,1,"0"
"2151",801,78,1,0,2,2,2,1,2,0,2,5,1,4,2,5,2,2,0,2,13,2,0,0,1,261,999,6,6,1,0,25,2,1,3,8,8000,15,0,0,1,1,0,1,"0"
"2152",604,51,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,136000,2,50,22,1,1,1,136000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2153",704,74,4,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,21,1,0,80000,1,210,999,1,1,2,80000,303,1,2,2,9,9000,29,0,0,2,1,1,3,"0"
"2156",906,48,1,0,1,2,1,2,1,0,2,1,1,2,3,5,3,3,0,1,19,1,17000,80000,1,51,999,1,1,1,97000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2158",610,66,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,48000,2,51,50,1,1,1,48000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2160",507,206,1,0,2,2,1,1,2,0,2,5,1,4,2,5,2,2,0,1,21,1,0,0,1,98,999,6,6,1,14200,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2161",505,125,1,2,2,1,2,2,2,0,2,5,1,4,3,5,3,3,0,1,19,1,0,49000,2,51,931,1,6,1,49000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2162",706,45,1,0,2,2,2,2,2,0,2,5,3,4,1,5,2,3,0,1,17,1,0,4500,3,996,999,2,6,1,4500,25,2,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2163",607,74,1,0,1,2,2,1,2,0,2,5,1,4,2,5,2,2,0,1,18,1,0,0,1,940,999,6,6,1,2000,25,1,1,2,1,1000,1,0,0,1,0,1,1,"1"
"2165",610,62,1,0,1,2,2,2,2,470,1,5,1,4,3,5,3,3,0,1,21,1,0,127000,1,171,999,1,6,1,127470,39,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2166",803,59,4,0,2,2,1,2,2,0,2,3,1,4,3,5,3,3,0,1,19,2,0,0,1,335,999,1,4,2,28000,324,2,1,1,2,3000,2,0,1,1,0,0,3,"0"
"2167",611,56,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,95000,2,50,22,1,6,1,95000,42,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2168",607,48,1,0,1,2,2,2,2,2000,2,1,1,4,3,5,3,3,0,1,21,2,0,120000,4,999,999,1,1,1,122000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2169",507,59,1,2,2,1,2,2,2,0,2,5,1,4,3,5,3,3,0,1,19,1,0,67000,1,935,999,1,6,1,67000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2170",704,207,1,0,2,2,2,1,2,0,2,5,1,4,2,1,2,1,0,2,18,1,0,0,2,51,935,3,6,1,0,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"2171",502,103,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,24,2,0,145000,1,50,999,1,1,1,145000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2172",100,62,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,0,1,14,2,0,0,2,50,51,6,6,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2173",802,55,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,0,115000,2,22,11,1,1,1,115000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2175",609,58,1,2,1,1,2,2,2,0,2,5,3,4,3,5,3,3,0,1,21,1,0,60000,2,11,190,1,6,1,60000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2176",903,142,4,0,2,2,1,1,2,0,1,1,1,4,2,1,2,1,0,1,21,1,30000,40000,1,795,999,1,1,2,70000,231,2,1,4,6,4019,10,1,0,1,0,0,4,"0"
"2177",100,12,1,2,2,1,1,1,2,0,1,3,1,4,3,5,3,3,0,1,20,1,0,22100,1,50,999,1,4,1,22100,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"2178",608,59,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,2,0,28000,4,999,999,1,6,1,28000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2179",1002,29,1,0,2,2,1,1,2,0,2,2,1,4,3,5,3,3,0,1,12,2,12000,0,1,26,999,6,3,1,12000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"1"
"2180",1003,51,1,0,1,2,2,1,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,0,4,999,999,6,6,1,0,25,1,1,1,1,1000,1,0,0,1,0,1,1,"1"
"2181",601,16,1,0,2,2,2,1,2,0,2,5,3,4,2,5,2,2,0,1,21,2,0,2000,4,999,999,6,6,1,2000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"2182",1201,58,5,0,1,2,2,2,2,6000,2,5,1,4,3,5,3,3,0,1,24,1,0,125000,1,88,999,1,6,2,131000,140,1,2,3,1,1000,1,0,0,1,0,1,5,"0"
"2183",706,53,1,0,1,2,2,2,2,0,2,5,3,4,2,5,2,2,0,3,12,1,0,3000,1,51,999,6,6,1,3000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2184",607,82,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,24,2,0,30000,4,999,999,1,6,1,30000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2185",805,52,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,157000,1,935,999,1,1,1,157000,44,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2186",703,40,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,100000,2,32,22,1,1,1,100000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2187",1001,104,2,0,2,2,1,1,2,0,1,5,1,4,2,5,2,2,0,1,10,2,9000,0,1,261,999,6,6,1,9000,72,2,1,4,9,9000,29,0,0,2,1,1,2,"0"
"2188",805,49,1,2,1,1,1,2,2,0,2,1,1,4,2,5,2,2,54000,1,21,2,45500,0,2,50,22,6,1,1,99500,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2189",902,97,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,32000,1,18,2,0,54000,1,50,999,1,1,1,86000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2190",603,126,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,3,21,1,0,75000,2,26,32,1,1,1,75000,10,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2191",704,86,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,21000,2,50,291,1,6,1,21000,36,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"2193",201,9,1,1,2,1,1,2,2,0,2,1,1,4,3,5,3,3,3900,1,18,1,22100,0,1,924,999,6,1,1,26000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"1"
"2195",906,52,1,0,1,2,2,2,2,0,2,3,1,4,3,5,3,3,0,1,20,2,0,98000,1,935,999,1,4,1,98000,44,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2196",506,124,1,0,2,2,1,1,2,0,2,5,1,4,3,5,3,3,0,1,16,2,0,30000,1,924,999,1,6,1,30000,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2197",608,65,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,18,1,0,32000,1,51,999,1,1,1,32000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2198",1004,97,1,0,2,2,1,2,2,0,2,3,1,4,2,5,2,2,0,1,19,1,0,0,1,84,999,6,4,1,0,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2199",201,71,1,0,2,2,2,1,2,0,2,5,1,4,2,1,2,1,0,1,15,1,0,6000,1,924,999,3,6,1,6000,34,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2200",701,89,4,0,2,2,1,2,2,0,1,1,1,4,2,5,2,2,0,1,19,1,13200,0,1,425,999,6,1,2,13200,224,2,1,2,1,1000,1,0,0,1,0,1,4,"0"
"2201",802,106,1,2,2,1,2,2,2,0,2,5,3,4,3,5,3,3,0,3,22,2,0,15000,4,999,999,1,6,1,15000,36,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2202",1002,41,4,0,2,2,1,2,2,0,1,1,1,4,3,5,3,3,36000,1,21,2,12000,18000,1,190,999,1,1,2,66000,327,2,1,1,1,1000,1,0,0,1,0,1,3,"0"
"2203",702,64,4,0,2,2,1,2,2,100,1,3,1,4,3,5,3,3,0,1,23,1,0,40000,1,782,999,1,4,2,40100,240,2,1,4,6,4005,10,1,0,1,0,0,4,"0"
"2204",507,97,1,0,1,2,1,2,2,0,2,1,1,3,2,5,2,2,15000,1,22,1,27000,9000,2,89,26,6,1,1,51000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2205",803,80,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,80000,2,50,32,1,6,1,80000,9,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"2206",1102,71,1,2,2,1,1,2,2,400,2,2,1,4,3,5,3,3,4500,1,16,2,26500,0,4,999,999,6,3,1,31400,36,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2207",504,14,1,0,2,2,1,2,2,0,2,5,1,4,3,5,3,3,0,3,14,1,0,0,1,939,999,6,6,1,0,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2208",604,73,1,0,1,2,2,2,2,0,2,1,1,4,2,1,2,1,0,1,21,2,0,0,1,22,999,3,1,1,0,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2209",805,60,1,0,1,2,2,2,2,0,2,3,1,4,3,5,3,3,0,1,24,2,0,157000,2,22,50,1,4,1,177000,39,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"2210",1103,98,1,2,2,1,1,2,2,3000,2,1,1,4,2,5,2,2,49600,1,24,1,45500,900,2,22,50,6,1,1,99000,23,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"2211",403,110,1,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,19,2,0,36000,1,261,999,1,1,1,36000,25,1,2,4,2,3000,2,0,1,1,0,0,1,"0"
"2212",702,210,1,0,2,2,2,1,2,0,1,5,1,4,3,5,3,3,0,1,16,2,0,32500,1,275,999,1,6,1,32500,25,2,1,3,8,8000,15,0,0,1,1,0,1,"0"
"2213",201,16,1,0,2,2,1,2,2,0,2,1,1,4,3,5,2,2,0,1,19,1,24000,0,1,88,999,6,1,1,24000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"2214",502,89,1,0,1,2,1,2,2,0,2,2,1,4,3,5,3,3,0,1,19,1,18000,0,4,999,999,6,3,1,18600,25,1,1,4,1,1000,1,0,0,1,0,1,1,"1"
"2215",1201,74,1,0,1,2,2,1,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,0,2,22,26,1,1,1,16000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"2216",612,44,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,40000,2,32,50,1,6,1,40000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
