"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"910",301,121,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,15000,4,999,999,1,6,1,15000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"911",801,66,1,1,1,1,2,2,2,0,2,5,1,4,3,5,3,3,0,3,19,1,0,4500,1,50,999,1,6,1,4500,24,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"912",1201,43,1,2,2,1,1,1,2,1200,2,1,1,4,2,5,2,2,9000,1,23,2,45500,0,2,22,142,6,1,1,55700,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"913",801,45,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,3,16,1,0,4300,4,999,999,2,6,1,4300,25,1,2,2,6,4025,10,1,0,1,0,0,1,"0"
"914",503,96,1,2,2,1,2,2,2,0,1,1,1,4,3,5,3,3,15600,1,20,2,0,1400,4,999,999,1,2,1,17000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"915",611,71,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,24,2,0,32000,1,706,999,1,6,1,32000,12,1,2,1,6,4000,5,1,0,1,0,0,1,"0"
"916",601,29,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,2,21,2,0,65000,1,50,999,1,1,1,65000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"917",1002,83,4,0,1,2,1,2,2,13200,1,1,1,4,2,5,2,2,0,1,21,1,26200,0,2,84,252,6,1,2,39400,129,1,1,4,1,1000,1,0,0,1,0,1,5,"0"
"918",704,61,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,109000,1,26,999,1,1,1,109000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"920",402,65,1,0,2,2,1,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,105000,1,50,999,1,1,1,105000,9,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"921",301,98,1,0,1,2,2,2,2,20,2,1,1,4,3,5,3,3,0,1,21,2,0,95000,1,935,999,1,1,1,100020,1,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
