"SPORDER","PUMA","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","JWTRNS","LANX","MAR","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","WAOB","Class"
1,704,149,5,1,2,0,1,2,2,2,2,0,1,1,1,2,1,2,2010,1,4,3,5,3,3,0,1,22,1,0,260000,40,52,1,1,615,999,1,6881,1,2,0,1021,260000,260000,210,501,800,25,1,2,1,6,4015,4,1,0,1,0,0,0,4,"No"
2,705,185,5,NA,NA,0,1,2,2,2,2,0,NA,1,1,2,1,2,2022,1,4,2,5,2,2,0,1,19,2,0,0,NA,NA,2,1,222,999,6,NA,1,2,0,NA,0,0,313,87,NA,NA,1,2,1,8,8000,15,0,0,1,1,0,0,3,"No"
2,704,212,1,1,NA,0,1,2,2,2,2,0,10,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,19,1,0,15000,25,52,1,4,999,999,1,5392,6,1,0,4720,15000,15000,25,501,700,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,1004,95,1,NA,1,0,2,2,1,1,2,0,NA,2,1,2,2,2,2010,1,4,2,5,2,2,20000,1,16,1,2400,0,NA,NA,2,1,82,999,6,NA,1,1,0,NA,0,22400,25,141,NA,NA,2,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,503,162,5,6,2,0,2,2,2,1,2,0,11,1,1,2,1,2,2004,1,4,3,5,3,3,0,1,16,2,0,0,40,1,1,1,360,999,1,8470,1,2,0,4600,770,770,362,7,500,25,2,1,4,9,9000,29,0,0,2,1,1,0,3,"No"
1,301,205,1,1,NA,0,1,2,1,1,2,0,NA,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,2,19,1,0,12000,30,24,NA,4,999,999,3,8590,6,1,0,4435,12000,12000,25,76,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,610,36,1,2,2,0,2,2,1,2,2,0,2,2,1,2,1,2,1980,1,4,3,5,3,3,0,1,19,1,0,10000,12,44,1,2,51,32,1,7890,1,1,0,2360,10000,10000,36,55,600,25,2,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,704,52,1,NA,2,2,2,1,1,2,2,1500,NA,2,1,2,2,2,1998,1,4,3,5,3,3,0,1,22,1,17000,0,NA,NA,NA,4,999,999,6,NA,1,1,0,NA,0,18500,25,222,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,606,52,1,7,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1999,1,4,3,5,3,3,0,1,23,2,0,148000,40,52,1,1,490,999,1,8191,1,1,0,3090,148000,148000,25,501,600,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,507,99,1,1,2,0,1,2,2,2,2,0,1,2,2,2,2,2,2016,1,4,3,5,3,3,0,1,20,2,0,90000,36,52,1,1,84,999,1,8191,3,1,0,3255,90000,90000,25,501,500,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,1103,148,1,NA,2,0,1,2,1,1,2,0,NA,2,2,2,2,2,1980,1,4,2,5,2,2,0,1,20,1,0,0,NA,NA,2,1,51,999,6,NA,3,1,0,NA,0,0,25,0,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
4,504,73,5,NA,2,0,2,2,1,1,2,0,NA,1,1,2,1,2,1968,1,4,3,5,3,3,0,1,23,2,0,0,NA,NA,NA,4,999,999,6,NA,2,2,0,NA,0,0,427,14,NA,NA,2,1,3,2,3000,2,0,1,1,0,0,0,6,"No"
1,1301,201,1,2,2,0,1,2,2,2,2,5000,11,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,1,0,36000,50,52,1,4,999,999,1,9160,6,1,NA,2040,36000,41000,25,262,1290,25,1,2,1,1,1000,1,0,0,1,0,1,NA,1,"No"
1,604,16,1,NA,2,0,2,2,1,1,2,0,NA,2,2,2,2,2,1974,3,4,3,5,3,3,8000,1,16,2,11900,0,NA,NA,NA,3,996,999,6,NA,3,1,NA,NA,0,19900,25,NA,NA,NA,2,1,2,1,1000,1,0,0,1,0,1,NA,1,"Yes"
3,1004,58,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,20,2,0,30000,40,52,1,2,26,84,1,7980,6,1,0,3310,30000,30000,25,501,1000,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,601,263,5,1,2,0,1,2,2,2,2,0,1,1,1,2,1,2,2006,1,4,3,5,3,3,0,1,22,1,0,120000,40,52,1,1,615,999,1,6970,1,2,0,1021,120000,120000,210,501,900,25,1,2,2,6,4015,4,1,0,1,0,0,0,4,"No"
1,601,60,1,NA,2,0,1,2,1,2,2,0,NA,2,1,2,1,2,1985,1,4,2,5,2,2,55000,1,21,2,0,0,NA,NA,2,2,142,50,6,NA,1,1,0,NA,0,55000,25,501,NA,NA,1,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,403,333,1,1,2,0,1,2,2,2,2,0,1,2,3,2,1,2,2005,1,4,3,5,3,3,0,1,16,1,0,60000,60,52,1,1,22,999,1,5680,4,1,0,9130,60000,60000,37,382,400,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,1201,162,1,2,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2010,1,4,3,5,3,3,0,1,21,2,0,45000,40,52,1,1,87,999,1,9170,1,1,0,51,45000,45000,34,501,1290,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,608,88,1,1,2,0,1,2,2,2,2,3200,11,2,1,2,1,2,1981,1,4,3,5,3,3,0,1,22,1,0,300000,52,52,1,4,999,999,1,3380,1,1,0,51,300000,303200,25,501,600,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,801,62,5,2,2,0,1,2,2,2,2,0,2,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,24,2,0,60000,40,52,1,1,144,999,1,7460,6,2,0,1760,60000,60000,132,388,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,5,"No"
1,403,44,1,NA,2,2,1,1,1,2,2,7800,NA,2,2,2,1,1,1959,1,4,2,5,2,2,0,1,16,2,21600,0,NA,NA,2,1,939,999,6,NA,3,1,0,NA,0,29400,25,204,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,201,223,1,1,2,0,1,2,2,2,2,0,11,2,1,1,1,2,2022,3,4,3,5,3,3,0,1,21,2,0,80000,48,52,1,2,50,935,1,6871,1,1,0,4820,80000,80000,25,501,290,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,802,99,2,2,2,0,1,2,2,2,2,0,1,1,1,2,1,2,2004,1,4,3,5,3,3,0,1,24,2,0,57000,40,52,1,2,291,84,1,8191,1,1,0,1650,57000,57000,72,501,800,25,1,2,2,9,9000,62,0,1,3,1,1,0,2,"No"
1,501,102,4,1,2,0,2,2,2,2,2,0,11,1,1,1,2,2,2023,1,2,3,3,1,1,0,1,17,1,0,30000,60,52,1,1,360,999,1,7690,1,2,0,4200,30000,30000,362,124,500,25,2,2,4,9,9000,29,0,0,2,1,1,0,3,"No"
1,905,51,1,1,2,2,2,1,1,2,2,37700,NA,2,1,2,1,2,1978,1,4,2,5,2,2,12600,1,21,1,0,0,NA,NA,2,2,50,935,6,7460,1,1,0,120,0,50300,25,274,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,100,103,1,2,2,0,2,2,1,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,1,2,1,0,1,17,1,3000,500,5,10,2,1,51,999,3,8370,6,1,0,4220,500,11700,25,76,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,1,"Yes"
2,507,55,1,7,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1983,1,4,3,5,3,3,0,1,23,2,0,72000,60,52,1,2,142,148,1,7480,1,1,0,3250,72000,72000,9,501,500,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
3,704,54,1,NA,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,2,12,2,0,0,NA,NA,NA,1,51,999,NA,NA,6,1,1,NA,NA,0,25,294,NA,NA,1,2,2,1,1000,1,0,0,1,0,1,1,1,"No"
3,1004,142,1,NA,NA,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,3,11,2,0,0,NA,NA,NA,2,261,22,NA,NA,6,1,1,NA,NA,0,33,64,NA,NA,2,1,4,9,9000,29,0,0,2,1,1,1,1,"Yes"
1,905,211,1,2,2,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,20,2,0,0,NA,NA,2,1,902,999,6,8090,6,1,0,5740,0,1300,25,6,NA,NA,2,1,2,2,3000,2,0,1,1,0,0,0,1,"No"
1,802,165,2,NA,2,0,2,2,1,1,2,0,NA,1,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,3,1,0,0,NA,NA,2,1,261,999,6,NA,6,1,0,NA,0,12320,72,79,NA,NA,2,1,1,9,9000,62,0,1,3,1,1,0,2,"No"
2,905,327,1,NA,2,2,2,1,1,2,2,5000,NA,2,1,2,1,2,1972,1,4,2,5,2,2,27000,1,21,2,29100,0,NA,NA,2,1,50,999,6,NA,1,1,0,NA,0,61100,25,501,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,1103,55,3,1,2,2,2,1,1,2,2,0,1,1,5,NA,NA,NA,NA,1,4,3,5,3,3,5600,1,16,1,14500,35000,36,52,1,1,510,999,1,8970,6,1,0,4500,35000,55100,408,380,900,25,1,1,4,8,8000,15,0,0,1,1,0,0,6,"No"
1,401,101,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1995,1,4,3,5,3,3,0,1,19,2,0,50000,50,52,1,2,51,88,1,7770,1,1,0,5240,50000,50000,25,501,400,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,503,71,5,1,NA,0,1,2,2,2,2,0,1,1,1,2,1,2,2019,3,4,3,5,3,3,0,3,21,2,0,65000,40,52,1,1,152,999,1,8660,1,2,0,5300,65000,65000,154,501,600,25,1,2,4,1,1000,1,0,0,1,0,1,0,5,"No"
