"SPORDER","PUMA","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","JWTRNS","LANX","MAR","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","WAOB","Class"
1,601,56,1,NA,2,0,2,2,2,1,2,0,NA,2,1,2,1,2,2021,1,4,2,5,2,2,0,1,13,1,0,0,NA,NA,2,4,999,999,6,NA,1,1,0,NA,0,12000,25,59,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
3,201,17,1,7,2,0,2,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,1,5,2,3,0,1,20,2,0,40000,40,52,1,4,999,999,2,7790,6,1,0,5740,40000,40000,25,501,NA,NA,2,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
3,501,111,1,NA,NA,2,2,1,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,NA,2,5,3,2,0,2,13,2,0,0,NA,NA,2,2,50,22,6,NA,6,1,1,NA,0,0,25,464,NA,NA,1,2,1,1,1000,1,0,0,1,0,1,1,1,"No"
1,201,25,1,2,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2021,1,4,3,5,3,3,0,1,22,2,0,52000,40,21,1,1,902,999,1,8090,1,1,0,3258,52000,52000,42,501,400,25,1,2,3,2,3000,2,0,1,1,0,0,0,1,"No"
2,611,61,1,4,2,0,1,2,2,2,2,0,9,2,1,2,1,2,2022,1,4,3,5,3,3,0,1,22,1,0,100000,40,52,1,4,999,999,1,9570,1,1,0,5920,100000,100000,34,328,600,25,1,2,1,6,4000,5,1,0,1,0,0,0,1,"No"
1,1104,79,1,1,2,2,2,1,1,2,1,70000,NA,1,1,2,2,2,2002,1,2,2,5,2,2,42000,1,21,1,36000,0,NA,NA,2,1,50,999,6,6970,1,1,0,845,0,149600,36,501,NA,NA,1,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
5,904,246,4,1,2,2,2,1,2,2,2,2000,1,1,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,21,1,0,54000,40,52,NA,4,999,999,1,7390,6,2,0,1240,54000,56000,207,453,900,25,1,2,3,6,4006,10,1,0,1,0,0,0,4,"No"
1,605,105,1,2,2,0,1,2,2,2,2,0,1,2,3,2,1,2,1989,1,4,3,5,3,3,0,1,18,2,0,55000,40,52,1,2,82,88,1,8370,4,1,0,102,55000,55000,25,356,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,100,16,1,7,2,2,1,1,1,2,2,0,1,2,1,2,1,2,1982,1,4,3,5,3,3,0,1,24,1,0,320000,40,52,1,2,50,22,1,7970,1,1,0,3090,320000,320000,36,501,100,25,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,301,53,1,4,2,0,1,2,2,2,2,0,11,2,1,2,2,2,2019,1,4,3,5,3,3,0,1,18,2,0,65000,40,52,1,4,999,999,1,9470,1,1,0,3802,65000,65000,25,444,290,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,806,73,4,3,2,0,1,2,2,2,2,0,1,1,1,1,1,2,2023,1,4,3,5,3,3,0,1,22,2,0,100000,40,5,1,1,750,999,1,7860,1,2,0,230,100000,100000,217,501,800,25,1,2,1,6,4003,8,1,0,1,0,0,0,4,"No"
1,804,45,1,2,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2006,1,4,3,5,3,3,0,1,21,1,0,72000,40,52,1,1,902,999,1,7071,1,1,0,410,72000,72000,47,501,800,25,1,2,2,2,3000,2,0,1,1,0,0,0,1,"No"
2,1003,89,5,1,NA,0,2,2,2,1,2,0,1,1,1,2,2,2,2019,3,4,3,5,3,3,0,1,15,1,0,20000,35,52,1,1,226,999,1,6180,1,2,0,9122,20000,20000,312,100,1290,25,2,1,4,8,8000,15,0,0,1,1,0,0,3,"No"
2,502,31,1,NA,2,0,1,2,1,2,2,18000,NA,2,1,2,1,2,1971,1,4,2,3,2,2,0,1,14,2,7500,0,NA,NA,2,1,24,999,6,NA,1,1,0,NA,0,25500,25,501,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,501,102,1,6,2,0,1,2,1,2,2,9000,11,2,1,2,1,2,1980,1,4,3,5,3,3,10700,1,20,2,9300,890,2,6,1,2,22,94,1,7370,1,1,0,2634,-5010,23990,25,443,500,25,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,505,124,1,3,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1992,1,4,3,5,3,3,0,1,22,2,0,68000,40,52,1,2,21,22,1,7860,1,1,0,2310,68000,68000,25,375,500,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,905,86,1,NA,2,0,1,2,1,2,2,0,NA,2,2,2,1,2,1954,1,2,2,5,2,2,10000,1,17,1,22800,0,NA,NA,2,1,148,999,6,NA,3,1,0,NA,0,33900,25,232,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,801,78,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,21,2,0,142000,45,52,1,2,50,22,1,8180,6,1,0,630,142000,142000,25,501,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,1104,97,1,NA,2,2,2,1,2,2,2,0,NA,2,1,2,2,2,2018,1,4,2,5,2,2,20000,1,23,2,0,0,NA,NA,2,1,939,999,6,NA,1,1,0,NA,0,20000,25,274,NA,NA,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
3,1001,79,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,3,16,1,0,30000,30,52,1,4,999,999,1,8590,6,1,0,4110,30000,30000,25,501,100,44,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,706,99,1,NA,2,0,1,2,1,2,1,0,NA,2,1,2,1,2,1972,1,2,2,5,2,2,1000,1,19,1,16000,0,NA,NA,2,4,999,999,6,NA,1,1,0,NA,0,17000,25,161,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,613,114,1,2,2,0,1,2,1,2,2,4000,1,2,2,2,1,2,2000,1,4,3,5,3,3,13200,1,22,2,0,140000,40,52,1,1,190,999,1,8191,3,1,0,2205,140000,157200,26,501,600,25,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,505,29,1,1,2,0,1,2,1,2,2,0,1,2,1,2,2,2,2001,1,3,3,5,3,3,0,1,16,1,0,60000,40,52,1,2,22,50,1,5382,1,1,0,9620,60000,60000,25,485,600,25,1,1,4,9,9000,17,0,0,2,0,1,0,1,"No"
1,704,83,1,1,2,0,1,2,1,2,2,0,11,2,1,2,1,2,1971,1,4,3,5,3,3,0,1,21,1,25000,75000,40,52,1,1,32,999,1,7380,1,1,0,1108,75000,100000,1,501,700,25,1,1,1,1,1000,1,0,0,1,0,1,0,1,"Yes"
2,701,64,5,1,2,0,1,2,2,2,2,0,1,1,3,2,1,2,2014,1,4,3,5,3,3,0,1,13,1,0,26000,30,40,NA,4,999,999,1,6170,4,2,0,9620,26000,26000,427,167,600,25,1,2,1,2,3000,2,0,1,1,0,0,0,6,"No"
3,608,109,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,3,16,2,0,3500,12,14,1,2,50,22,1,5081,6,1,0,4760,3500,3500,25,501,700,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,607,83,4,1,2,0,1,2,2,2,2,0,1,1,1,2,1,2,2001,1,4,3,5,3,3,0,1,24,1,0,196000,40,52,1,1,615,999,1,2190,1,2,0,1610,196000,196000,210,501,600,25,1,2,3,6,4015,4,1,0,1,0,0,0,4,"No"
3,503,83,4,NA,NA,2,2,1,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,2,12,2,0,0,NA,NA,NA,1,785,999,NA,NA,6,2,1,NA,NA,0,247,501,NA,NA,1,2,2,6,4014,9,1,0,1,0,0,1,4,"No"
1,301,62,5,3,NA,0,1,2,2,2,2,0,NA,1,5,NA,NA,NA,NA,3,4,3,5,3,3,0,2,18,2,0,3500,35,11,NA,1,795,999,6,8470,6,2,NA,2545,3500,3500,240,NA,NA,NA,1,2,3,6,4025,10,1,0,1,0,0,NA,4,"No"
3,1002,212,1,NA,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,2,13,2,0,0,NA,NA,NA,4,999,999,6,NA,6,1,1,NA,0,0,25,500,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,1,1,"No"
5,602,103,1,NA,NA,2,1,1,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,2,19,1,0,0,NA,NA,2,1,706,999,6,NA,6,1,0,NA,0,0,25,142,NA,NA,1,2,3,6,4000,5,1,0,1,0,0,0,1,"No"
4,804,32,5,1,NA,0,1,2,2,2,2,0,10,1,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,23,1,0,65000,48,52,1,1,750,999,1,7460,6,2,0,1650,65000,65000,217,427,800,25,1,2,3,6,4003,8,1,0,1,0,0,0,4,"No"
2,507,111,1,1,2,0,1,2,2,2,2,10000,1,2,1,2,1,2,2000,1,4,3,5,3,3,0,1,22,1,0,715000,45,52,1,1,924,999,1,6970,1,1,0,850,715000,725000,25,501,600,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,803,77,5,8,2,0,2,2,1,1,2,0,3,2,1,2,2,2,2018,1,4,3,5,3,3,0,1,1,2,0,2000,40,40,1,1,234,999,1,8680,2,2,0,310,2000,2000,364,12,800,25,2,1,3,9,9000,58,1,0,2,1,0,0,3,"No"
3,402,316,1,6,2,0,2,2,2,1,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,1,0,0,2,12,1,1,902,999,1,770,6,1,0,6260,1000,14600,25,94,400,25,2,1,4,2,3000,2,0,1,1,0,0,0,1,"No"
2,504,115,4,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,16,1,0,24500,40,52,1,1,902,999,1,770,6,2,0,9130,24500,24500,421,158,900,25,1,2,1,2,3000,2,0,1,1,0,0,0,6,"No"
1,805,56,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2004,1,4,3,5,3,3,0,1,21,1,0,37000,40,11,1,4,999,999,1,7780,1,1,0,1021,37000,37000,45,243,800,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,604,51,1,2,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2010,1,4,3,5,3,3,0,1,23,2,0,15000,35,20,1,1,935,999,1,7860,1,1,0,2330,15000,15000,25,114,600,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,901,70,5,2,NA,2,2,1,2,2,2,0,10,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,3,19,2,0,3000,15,20,1,2,22,935,1,7860,6,2,NA,5400,3000,3000,301,NA,900,25,1,2,3,1,1000,1,0,0,1,0,1,NA,7,"No"
1,1104,308,1,1,2,2,2,1,1,2,2,25000,NA,2,2,2,1,2,1987,1,4,2,5,2,2,96000,1,22,2,27600,0,NA,NA,2,2,94,22,6,8660,3,1,0,5300,0,148600,25,501,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,704,75,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1995,1,4,3,5,3,3,0,1,21,2,0,220000,45,52,1,2,998,51,1,7390,1,1,0,10,220000,220000,25,501,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,1002,96,1,NA,2,2,2,1,1,2,2,0,NA,2,1,2,1,2,1973,1,4,2,1,2,2,0,1,19,2,29900,0,NA,NA,2,1,22,999,6,NA,1,1,0,NA,0,29900,25,261,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
3,1201,36,5,NA,NA,0,1,2,2,2,2,0,NA,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,3,13,2,0,0,NA,NA,NA,2,32,924,NA,NA,6,2,1,NA,NA,0,110,501,NA,NA,1,2,2,1,1000,1,0,0,1,0,1,1,5,"No"
3,201,70,1,1,2,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,1,2,1,0,1,16,1,0,15000,40,26,2,1,22,999,3,770,6,1,0,6400,15000,15000,25,231,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
3,701,87,1,1,2,0,2,2,2,1,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,2,0,20000,30,52,1,2,51,50,1,7890,6,1,0,440,20000,20000,25,501,900,25,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,801,174,1,NA,NA,0,1,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,3,19,2,0,0,NA,NA,2,1,425,999,6,NA,6,1,NA,NA,0,0,25,NA,NA,NA,1,1,4,1,1000,1,0,0,1,0,1,NA,1,"No"
1,605,42,1,3,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2020,1,4,2,5,2,2,0,2,23,1,0,125000,50,52,1,4,999,999,1,9470,1,1,0,3740,125000,125000,25,501,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,801,85,1,1,NA,0,1,2,2,2,2,710,11,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,21,1,0,96000,40,52,1,1,50,999,1,7380,6,1,0,1021,96000,96710,25,501,800,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,507,117,4,2,2,0,1,2,2,2,2,0,1,2,3,2,3,2,2018,3,4,3,5,3,3,7500,1,21,1,0,55000,40,52,1,1,553,999,1,3980,4,2,0,8990,55000,62500,440,397,600,25,1,2,3,2,3000,2,0,1,1,0,0,0,6,"No"
1,608,7,1,NA,2,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,15,1,0,0,NA,NA,2,4,999,999,6,NA,6,1,NA,NA,0,10400,25,67,NA,NA,2,1,2,2,3000,2,0,1,1,0,0,NA,1,"Yes"
1,201,20,1,1,2,0,1,2,2,2,2,8000,NA,2,1,2,1,2,2018,1,4,3,5,3,2,0,1,21,2,0,0,NA,NA,NA,1,195,999,6,7980,1,1,0,5740,0,8000,25,501,NA,NA,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,805,38,1,2,2,0,1,2,2,2,2,0,11,2,1,2,1,2,1994,1,4,3,5,3,3,0,1,21,2,0,154000,40,52,1,2,100,22,1,7870,1,1,0,1021,154000,154000,25,501,800,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,606,83,1,NA,2,2,1,1,1,2,2,200,NA,2,2,2,1,2,1975,3,4,2,5,2,2,29800,1,20,2,10400,0,NA,NA,2,1,50,999,6,NA,3,1,0,NA,0,40400,25,501,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,1004,140,4,1,2,0,2,2,2,2,2,0,1,1,4,2,1,2,2004,1,4,3,5,3,3,0,1,16,1,0,80000,45,52,1,1,510,999,1,7690,5,2,0,4230,80000,80000,408,501,1000,25,2,2,1,9,9000,38,0,1,2,1,0,0,6,"No"
1,605,101,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2021,1,4,3,5,3,3,0,1,21,2,0,150000,40,52,1,2,924,190,1,6671,1,1,0,2810,150000,150000,42,501,900,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
4,805,422,5,9,NA,0,1,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,NA,2,1,2,1,0,2,13,2,0,0,NA,NA,2,1,314,999,3,9920,6,2,0,9920,0,0,341,199,NA,NA,1,1,2,2,3000,2,0,1,1,0,0,1,3,"No"
2,608,33,1,1,2,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,2,0,73000,40,52,NA,4,999,999,1,7280,6,1,0,9645,73000,78500,25,501,700,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,401,126,1,3,2,0,1,2,2,2,2,0,1,1,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,1,0,75000,40,52,1,2,336,261,1,7860,6,1,0,2310,75000,75000,36,490,400,25,1,2,4,9,9000,38,0,1,2,1,0,0,1,"No"
2,504,101,1,5,2,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,20000,1,16,1,0,60000,60,52,1,2,935,22,1,6370,6,1,0,5550,60000,80000,25,501,500,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,506,75,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2010,1,4,3,5,3,3,0,1,20,1,0,50000,45,52,1,2,22,50,1,2380,1,1,0,700,65000,65000,25,321,600,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
4,608,382,5,NA,2,0,2,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,16,2,0,0,NA,NA,2,3,996,999,6,NA,6,2,0,NA,0,0,301,227,NA,NA,2,2,1,1,1000,1,0,0,1,0,1,0,7,"No"
2,1003,64,1,1,NA,0,2,2,2,1,2,0,1,2,5,NA,NA,NA,NA,1,NA,3,5,3,3,0,2,13,1,0,6200,15,52,NA,4,999,999,1,5392,6,1,1,4720,6200,6200,25,94,1000,25,2,1,1,1,1000,1,0,0,1,0,1,1,1,"No"
1,507,65,1,1,2,0,1,2,2,2,2,0,11,2,1,2,1,2,2010,1,4,3,5,3,3,0,1,20,2,0,109000,40,52,1,1,920,999,1,6992,1,1,0,4710,109000,109000,25,410,500,25,1,2,3,9,9000,30,0,1,2,0,0,0,1,"No"
1,608,105,1,1,2,0,1,2,2,2,2,19000,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,21,2,0,397000,40,52,1,1,142,999,1,2190,6,1,0,350,397000,416000,25,501,600,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,604,113,1,NA,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,2,12,1,0,0,NA,NA,NA,2,924,195,NA,NA,6,1,1,NA,NA,0,4,501,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,1,1,"No"
1,607,18,1,2,2,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,1,0,40400,50,52,1,2,50,26,1,9160,6,1,NA,2040,40400,40400,25,265,600,25,1,2,1,1,1000,1,0,0,1,0,1,NA,1,"No"
4,402,82,1,1,2,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,1,0,29200,60,52,1,2,50,22,1,4971,6,1,0,9645,29200,29200,25,501,400,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,503,59,1,1,NA,0,2,2,2,1,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,2,0,9200,16,52,1,2,935,50,1,8680,6,1,0,4110,9200,9200,25,115,500,25,2,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,1101,181,4,1,2,0,1,2,2,2,2,0,1,1,1,2,3,2,2005,1,4,3,5,3,3,0,1,16,1,0,85000,60,52,1,1,336,999,1,2570,1,2,0,9130,85000,85000,332,501,1100,25,1,2,4,2,3000,2,0,1,1,0,0,0,3,"No"
2,1001,110,1,1,2,0,1,2,2,2,2,0,10,2,1,2,1,2,2011,1,4,3,5,3,3,0,1,22,1,0,325000,55,52,1,1,935,999,1,3490,1,1,0,10,325000,325000,16,501,1,166,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,100,14,1,NA,NA,0,2,2,2,1,2,0,NA,2,1,1,1,2,2022,1,4,3,5,3,3,0,1,16,2,0,0,NA,NA,NA,4,999,999,6,NA,1,1,0,NA,0,0,25,369,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,902,58,1,2,2,0,1,2,2,2,2,0,9,2,1,2,1,2,2007,1,4,3,5,3,3,0,1,21,1,0,212000,45,52,1,2,171,190,1,7870,1,1,0,2205,222000,222000,34,501,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,401,13,1,1,2,0,1,2,2,2,2,0,1,2,3,2,1,2,1991,1,4,3,5,3,3,0,1,21,2,0,25000,30,52,NA,4,999,999,1,8660,4,1,0,310,25000,25000,25,162,400,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,100,48,1,1,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,2,19,2,0,7500,38,16,NA,4,999,999,6,8680,6,1,NA,310,7500,7500,17,NA,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,NA,1,"No"
1,609,92,1,3,2,0,1,2,2,2,2,0,NA,2,1,2,1,2,1986,1,4,2,5,3,2,169000,1,22,1,0,0,NA,NA,2,2,50,939,6,9470,1,1,0,3720,0,169000,25,501,NA,NA,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,301,64,5,2,NA,0,1,2,2,2,2,0,10,1,5,NA,NA,NA,NA,3,4,3,5,3,3,0,3,19,2,0,2000,10,30,NA,4,999,999,1,7870,6,2,NA,4655,2000,2000,207,NA,290,25,1,2,4,6,4000,5,1,0,1,0,0,NA,4,"No"
1,902,151,5,2,2,0,1,2,2,2,2,0,10,1,1,2,1,2,2022,3,4,3,5,3,3,0,1,21,2,0,50000,40,48,1,1,903,999,1,8270,2,2,0,2060,50000,50000,421,317,600,25,1,2,1,2,3000,2,0,1,1,0,0,0,6,"No"
2,1104,157,1,1,2,0,1,2,2,2,2,0,NA,2,1,2,1,2,2002,1,4,3,1,1,1,0,1,16,1,0,100000,40,40,2,1,84,999,3,770,1,1,0,6442,100000,100000,25,501,NA,NA,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,1101,4,1,NA,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,2,14,2,0,0,NA,NA,NA,4,999,999,6,NA,6,1,NA,NA,0,0,19,NA,NA,NA,1,2,2,1,1000,1,0,0,1,0,1,NA,1,"Yes"
1,701,56,1,1,2,0,1,2,2,2,2,0,2,1,3,2,1,2,1991,1,4,2,5,2,2,0,1,21,1,0,285000,60,52,1,1,51,999,1,7380,4,1,0,52,285000,285000,25,501,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,606,56,1,1,2,0,1,2,2,2,2,0,11,2,1,2,1,2,2013,1,4,3,5,3,3,0,1,21,2,0,5100,7,25,1,2,22,50,1,4771,1,1,0,51,5100,5100,24,501,600,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,706,298,1,2,2,0,1,2,2,2,2,500,4,2,1,2,1,2,1980,1,4,3,5,3,3,0,1,22,2,0,134000,50,52,1,2,22,51,1,8191,1,1,0,350,134000,134500,25,501,800,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,1001,81,1,1,2,0,1,2,2,2,2,0,1,2,3,2,1,2,1994,1,4,3,5,3,3,0,1,21,1,0,60000,40,52,1,1,84,999,1,7780,4,1,0,710,60000,60000,25,436,1000,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,301,61,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1999,1,4,3,5,3,3,0,1,16,1,0,70000,40,52,1,2,51,261,1,4981,1,1,0,4700,70000,70000,25,501,290,25,1,2,3,9,9000,29,0,0,2,1,1,0,1,"No"
2,503,83,1,1,2,0,1,2,2,2,2,0,11,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,19,2,0,100000,50,52,1,2,125,51,1,2190,6,1,0,1065,100000,100000,36,501,500,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
5,803,276,4,1,2,0,2,2,2,2,2,0,NA,1,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,15,1,0,0,NA,NA,NA,1,336,999,6,1990,6,2,0,8255,0,0,332,501,NA,NA,2,2,2,2,3000,2,0,1,1,0,0,0,3,"No"
1,501,51,1,4,2,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,17,1,0,2200,21,40,NA,4,999,999,6,9470,6,1,NA,4220,2200,2200,25,NA,NA,NA,2,1,2,2,3000,2,0,1,1,0,0,NA,1,"No"
1,507,94,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2014,1,4,3,5,3,3,0,1,24,1,0,130000,40,52,1,1,22,999,1,7290,1,1,0,1021,130000,130000,25,501,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
3,604,88,1,1,2,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,21,1,0,5000,40,4,2,2,50,998,6,9090,6,1,0,4350,5000,5000,25,501,NA,NA,2,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,702,157,2,1,2,0,1,2,2,1,2,0,1,1,5,NA,NA,NA,NA,1,4,3,5,3,3,10000,1,17,1,0,15000,27,52,1,1,902,999,1,4070,6,1,0,9130,15000,25000,72,161,700,25,1,1,4,2,3000,2,0,1,1,0,0,0,2,"No"
1,608,122,1,2,2,0,1,2,1,2,2,0,NA,2,1,2,1,2,1982,1,4,2,5,2,2,5700,1,21,2,12000,0,NA,NA,2,1,51,999,6,4771,1,1,0,5860,0,17700,25,334,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,100,17,1,2,2,0,2,2,1,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,1100,1,21,2,2200,0,NA,NA,2,2,51,26,6,7970,6,1,0,3430,0,3300,17,22,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
3,602,68,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,19,1,0,40000,45,52,1,4,999,999,1,8590,6,1,0,4621,40000,40000,25,501,600,25,1,2,1,9,9000,29,0,0,2,1,1,0,1,"No"
1,603,47,1,3,2,0,1,2,1,2,2,0,NA,2,1,2,1,2,1982,1,4,2,5,2,2,3700,1,19,2,0,0,NA,NA,2,2,46,50,6,7860,1,1,0,4600,0,3700,25,245,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,1104,64,1,4,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2010,1,4,3,5,3,3,0,1,24,1,0,110000,40,52,1,2,84,97,1,7870,1,1,0,2205,110000,110000,25,501,600,25,1,2,4,9,9000,29,0,0,2,1,1,0,1,"No"
1,607,44,1,1,2,0,1,2,2,2,2,0,11,2,3,2,1,2,2007,1,4,3,5,3,3,0,1,19,2,0,150000,40,52,1,2,51,935,1,7380,4,1,0,52,150000,150000,25,501,600,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,201,278,1,NA,2,0,2,2,1,2,2,0,NA,2,1,2,1,2,1987,1,4,2,5,2,2,0,1,16,2,15600,0,NA,NA,2,1,22,999,6,NA,1,1,0,NA,0,15600,25,248,NA,NA,2,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
