"SPORDER","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
1,503,0.909518403908875,5,0,2,2,2,1,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,16,2,-0.451796206396106,-0.606111435888042,1,360,999,1,1,2,-0.727311891265436,362,2,1,4,9,9000,29,0,0,2,1,1,3,0
1,301,1.47699969539661,1,0,1,2,1,1,2,-0.134550377530303,2,5,3,4,3,5,3,3,-0.27456392637561,2,19,1,-0.451796206396106,-0.458664552708458,4,999,999,3,6,1,-0.601543839319602,25,1,1,1,1,1000,1,0,0,1,0,1,1,0
1,610,-0.753333752543546,1,0,2,2,1,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,19,1,-0.451796206396106,-0.483239033238389,2,51,32,1,1,1,-0.623942423815743,36,2,1,1,1,1000,1,0,0,1,0,1,1,0
1,704,-0.542177923152762,1,2,2,1,1,2,2,-0.0811820241945912,2,1,1,4,3,5,3,3,-0.27456392637561,1,22,1,1.40356025044411,-0.606111435888042,4,999,999,6,1,1,-0.528748439707142,25,1,1,2,1,1000,1,0,0,1,0,1,1,0
1,606,-0.542177923152762,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,23,2,-0.451796206396106,1.21240012332683,1,490,999,1,1,1,0.921559906418015,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
2,507,0.0780923256826643,1,0,1,2,2,2,2,-0.134550377530303,2,2,1,4,3,5,3,3,-0.27456392637561,1,20,2,-0.451796206396106,0.499740187958838,1,84,999,1,3,1,0.272000956029914,25,1,2,4,1,1000,1,0,0,1,0,1,1,0
1,1103,0.724757053191939,1,0,1,2,1,1,2,-0.134550377530303,2,2,1,4,2,5,2,2,-0.27456392637561,1,20,1,-0.451796206396106,-0.606111435888042,1,51,999,6,3,1,-0.73593534629645,25,1,1,2,1,1000,1,0,0,1,0,1,1,0
4,504,-0.265035897077359,5,0,2,2,1,1,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,23,2,-0.451796206396106,-0.606111435888042,4,999,999,6,2,2,-0.73593534629645,427,2,1,3,2,3000,2,0,1,1,0,0,6,0
1,1301,1.42421073804891,1,0,1,2,2,2,2,0.0433441335887363,2,5,1,4,3,5,3,3,-0.27456392637561,1,22,1,-0.451796206396106,-0.16377078634929,4,999,999,1,6,1,-0.276764364125551,25,1,2,1,1,1000,1,0,0,1,0,1,1,0
1,604,-1.01727853928203,1,0,2,2,1,1,2,-0.134550377530303,2,2,3,4,3,5,3,3,0.244404448258486,1,16,2,0.846953313392044,-0.606111435888042,3,996,999,6,3,1,-0.513069430559843,25,2,1,2,1,1000,1,0,0,1,0,1,1,1
3,1004,-0.462994487131218,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,20,2,-0.451796206396106,-0.237494227939082,2,26,84,1,6,1,-0.399956578854329,25,1,2,4,1,1000,1,0,0,1,0,1,1,0
1,601,2.2424395769382,5,0,1,2,2,2,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,22,1,-0.451796206396106,0.868357395907798,1,615,999,1,1,2,0.607979723472035,210,1,2,2,6,4015,4,1,0,1,0,0,4,0
1,601,-0.436600008457371,1,0,1,2,1,2,2,-0.134550377530303,2,1,1,4,2,5,2,2,3.2933436492338,1,21,2,-0.451796206396106,-0.606111435888042,2,142,50,6,1,1,-0.119974272652561,25,1,1,4,1,1000,1,0,0,1,0,1,1,0
1,403,3.16624633052287,1,0,1,2,2,2,2,-0.134550377530303,2,3,1,4,3,5,3,3,-0.27456392637561,1,16,1,-0.451796206396106,0.131122980009878,1,22,999,1,4,1,-0.0639778114122076,37,1,2,1,1,1000,1,0,0,1,0,1,1,0
2,1201,0.909518403908875,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,21,2,-0.451796206396106,-0.0531856239646024,1,87,999,1,1,1,-0.231967195133268,34,1,2,1,1,1000,1,0,0,1,0,1,1,0
2,608,-0.0670773070234993,1,0,1,2,2,2,2,-0.0206978904141178,2,1,1,4,3,5,3,3,-0.27456392637561,1,22,1,-0.451796206396106,3.08006064360156,4,999,999,1,1,1,2.65969006331859,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
2,801,-0.410205529783523,5,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,24,2,-0.451796206396106,0.131122980009878,1,144,999,1,6,2,-0.0639778114122076,132,1,2,1,1,1000,1,0,0,1,0,1,5,0
1,403,-0.647755837848154,1,2,1,1,1,2,2,0.142965059815398,2,2,1,4,2,5,2,2,-0.27456392637561,1,16,2,1.90559787994205,-0.606111435888042,1,939,999,6,3,1,-0.406676154203171,25,1,1,2,1,1000,1,0,0,1,0,1,1,0
2,201,1.71455000346124,1,0,1,2,2,2,2,-0.134550377530303,2,1,3,4,3,5,3,3,-0.27456392637561,1,21,2,-0.451796206396106,0.376867785309184,2,50,935,1,1,1,0.160008033549207,25,1,2,3,1,1000,1,0,0,1,0,1,1,0
1,802,0.0780923256826643,2,0,1,2,2,2,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,24,2,-0.451796206396106,0.0942612592149816,2,291,84,1,1,1,-0.0975756881564198,72,1,2,2,9,9000,62,0,1,3,1,1,2,0
